Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS17860,DPC042D1BSSPR,DANBY,Small Appliances,Silhouette 4.2 CuFt 3 in 1 Built-In Party Center Wine  Can  Ice Maker,B-class - Damage Front                                          DOOR DENTED,124.0,1499.0,1.0
BS17860,FFFU17M1QW,FRIGIDAIRE,Major Appliances,17.4 CF Upright Freezer Manual Defrost,Carton Damage - Unit OK                                         IHD,358.0,1498.0,2.0
BS17860,FFSS2614QS,FRIGIDAIRE,Major Appliances,26 CF Side-by-Side Refrigerator Short Handles,B-class - Damage Rear                                           IHD,310.0,1199.0,1.0
BS17860,FGHI2164QP,FRIGIDAIRE,Major Appliances,20.5 CF Top Mount Refrigerator w/ Ice Maker Custo m-Flex Door  ESTAR,CASE # 236349                                                   B-class - Damage Left Side  B-class - Damage Right Side         SCRATCH LEFT SIDE  RIGHT REAR CORNER DENTED,220.0,1199.0,1.0
BS17860,FFRU17G8QW,FRIGIDAIRE,Major Appliances,17 CF All-Refrigerator Frost-Free Glass Shelves,Carton Damage - Unit OK                                         IHD,201.0,899.0,1.0
BS17860,FFHT1831QP,FRIGIDAIRE,Major Appliances,18 CF Top Mount Refrigerator ADA ESTAR,B-class - Damage Left Side                                      IHD,205.0,829.0,1.0
BS17860,HLP141E,HAIER,Major Appliances,2.6 cu.ft. Portable Dryer,Carton Damage - Unit OK                                         found in warehouse,120.0,698.0,2.0
BS17860,DFF092C1BSLDB,DANBY,Small Appliances,9.2 CuFt. Bottom Mount Freezer Frost FreeCrisper    2 Glass Shelves,B-class - Damage Rear                                           IHD,166.0,619.99,1.0
BS17860,DER201W,DANBY,Small Appliances,"20"" Electric Range Coil ElementsGlass Door Windo  w Manual Clean",B-class - Damage Left Side                                      IHD,132.0,599.99,1.0
BS17860,DER201W,DANBY,Small Appliances,"20"" Electric Range Coil ElementsGlass Door Windo  w Manual Clean",B-class - Damage Right Side                                                                                                     In House Damage                                                 AS115-1,132.0,599.99,1.0
BS17860,HLTW500AXW,HAIER,Major Appliances,3.4 cu ft Washer Energy Star 8 Cycles Load Sens   ing  Auto Temp  3 Spin,B-class - Damage Rear                                           IHD,178.0,599.0,1.0
BS17860,DFF123C1WDB,DANBY,Small Appliances,12.3 CuFt. Reversible Door Frost FreeInterior Li  ght,B-class - Damage Front                                           FRONT SCRATCHED,143.0,579.99,1.0
BS17860,DAR110A1WDD,DANBY,Small Appliances,11 CuFt. All RefrigeratorInterior LightWorktopC   risper,B-class - Damage Front                                          Scratch/Front,165.0,549.99,1.0
BS17860,DFF100C1BSLDB,DANBY,Small Appliances,9.9 CuFt. Top Mount Freezer Frost FreeCrisper,B-class - Damage Front                                          IHD,136.0,549.99,1.0
BS17860,DFF100C1BSLDB,DANBY,Small Appliances,9.9 CuFt. Top Mount Freezer Frost FreeCrisper,B-class - Damage Left Side B-class - Damage Right  Side         B-class - Damage Front                                          SCRATCHED FRONT/DENTED ON SIDES,136.0,549.99,1.0
BS17860,DR200WGLP,DANBY,Small Appliances,"20"" Gas Range Electronic Ignition1 Oven Rack",B-class - Damage Front                                          handle bent  door bent broiler door will not say closed,129.0,549.99,1.0
BS17860,DFF100C1BSLDB,DANBY,Small Appliances,9.9 CuFt. Top Mount Freezer Frost FreeCrisper,B-class - Damage Left Side B-class - Damage Right  Side         B-class - Damage Front  B-class - Damage Rear                   B-class - Damage Top,136.0,549.99,1.0
BS17860,DR200WGLP,DANBY,Small Appliances,"20"" Gas Range Electronic Ignition1 Oven Rack",B-class - Damage Left Side B-class - Damage Front                                                                               LEFT SIDE DENTED  HANDLE DENTED,129.0,549.99,1.0
