Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,Carton Damage - Unit OK,416.0,3599.92,8.0
BS18090,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,Carton Damage - Unit OK,497.0,3149.93,7.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,B-class - Damage Bottom Used,282.0,1799.97,3.0
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B class - Packing in Poor Condition,156.0,1349.97,3.0
BS18090,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B class - Packing in Poor Condition,213.0,1349.97,3.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,B class - Used,188.0,1199.98,2.0
BS18090,MM14CCSBB,HONEYWELL,Seasonal,14000 BTU Portable A/C,Carton Damage - Unit OK,188.0,1199.98,2.0
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B class- Used,104.0,899.98,2.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B class - Used,94.0,649.99,1.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B Class- Used Poor Packing,94.0,649.99,1.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B-class - Damage Bottom Used Packing in Poor Con  dition,94.0,649.99,1.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B Class- Used Poor Packing Bottom Damage,94.0,649.99,1.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B-class - Damage Bottom Poor Packing,94.0,649.99,1.0
BS18090,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B Class- Poor Packing,94.0,649.99,1.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,B-class - Damage Left Side,94.0,599.99,1.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,B Class- Used Poor Packing,94.0,599.99,1.0
BS18090,MM14CCSBB,HONEYWELL,Seasonal,14000 BTU Portable A/C,B-class - Damage Bottom Used,94.0,599.99,1.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,B-class - Damage Bottom Right Side,94.0,599.99,1.0
BS18090,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,Carton Damage - Unit OK,94.0,599.99,1.0
BS18090,HL14CESWK,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,Carton Damage - Unit OK,72.0,599.99,1.0
BS18090,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,Carton Damage - Unit OK,81.0,549.99,1.0
BS18090,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,B-class - Damage Bottom,81.0,549.99,1.0
BS18090,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,Carton Damage - Unit OK,75.0,449.99,1.0
BS18090,MN10CESBB,HONEYWELL,Seasonal,10000 BTU Portable A/C,B-class - Damage Bottom,75.0,449.99,1.0
BS18090,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,B Class- Used Minor Scratches,75.0,449.99,1.0
BS18090,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,B class  - Used Packing in Poor Condition,75.0,449.99,1.0
BS18090,MN10CESBB,HONEYWELL,Seasonal,10000 BTU Portable A/C,Carton Damage - Unit OK,75.0,449.99,1.0
BS18090,HL10CESWG,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,Carton Damage - Unit OK,71.0,449.99,1.0
BS18090,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B-class - Damage Bottom Used,71.0,449.99,1.0
BS18090,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B-class - Damage Bottom Used,71.0,449.99,1.0
BS18090,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B class - Used,71.0,449.99,1.0
BS18090,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B class - Used Packing in Poor Condition,71.0,449.99,1.0
BS18090,MN10CESBB,HONEYWELL,Seasonal,10000 BTU Portable A/C,B Class- Poor Packing,75.0,449.99,1.0
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B-class - Damage Bottom Used,52.0,449.99,1.0
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B-class - Damage Bottom Used Poor Packing,52.0,449.99,1.0
BS18090,MP10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C - Front Grille Body Design,Carton Damage - Unit OK,62.0,449.99,1.0
BS18090,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B class - Used,52.0,449.99,1.0
BS18090,MP10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C - Front Grille Body Design,B-class - Damage Bottom Used,62.0,449.99,1.0
BS18090,MN10CESBB,HONEYWELL,Seasonal,10000 BTU Portable A/C,B-class - Damage Bottom Used,75.0,449.99,1.0
BS18090,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,B class - Packing in Poor Condition,63.0,399.99,1.0
BS18090,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,B class- Used,63.0,399.99,1.0
BS18090,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,Carton Damage - Unit OK,63.0,399.99,1.0
,,,,,,4661.0,31999.360000000022,64.0
