Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF28HMEDBSR,SAMSUNG,REFRIGERATORS,French Door Refrigerators,545257,28.15-CU FT 4 DOOR FRENCH DOOR,http://images.lowes.com,No,,1899.0,1,1899.0,Scratch and Dent,Side Dent
RF28HFEDTSR,SAMAUNG,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,,1699.0,1,1699.0,Scratch and Dent,Rear Dent
WRX735SDBM,Whirlpool,REFRIGERATORS,French Door Refrigerators,480819,24.5-cu ft 4 French Door Refrigerator Single Ice Maker (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049282565.jpg,No,,1499.0,1,1499.0,Scratch and Dent,Side Dent
LFHB2751TF,Frigidaire,REFRIGERATORS,French Door Refrigerators,852874,26.8-CU FT 3-DOOR FRENCH DOOR ,http://images.lowes.com,No,wex,1399.0,1,1399.0,Scratch and Dent,Front Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1399.0,1,1399.0,Scratch and Dent,Front Scratch
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1399.0,1,1399.0,Scratch and Dent,Rear Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1399.0,1,1399.0,Scratch and Dent,Side Dent
GNE25JSKSS,GE,SOS REFRIGERATION,French Door Refrigerators,612847,24.8-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691814153.jpg,Yes,,1299.0,1,1299.0,Scratch and Dent,Rear Dent
LSXS26326W,LG,SOS REFRIGERATION,Side-by-Side Refrigerators,616432,26.2-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smooth White),http://images.lowes.com/product/converted/048231/048231786331.jpg,Yes,,1259.0,1,1259.0,Scratch and Dent,Side Dent
LSXS26326S,LG,REFRIGERATORS,Side-by-Side Refrigerators,618013,26.2-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/048231/048231786324.jpg,No,,1199.0,1,1199.0,Scratch and Dent,Side Dent
GSE25HMHES,GE,REFRIGERATORS,Side-by-Side Refrigerators,623763,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691261049.jpg,No,wex,1099.0,1,1099.0,Scratch and Dent,Side Dent
LDCS24223S,LG,REFRIGERATORS,Bottom-Freezer Refrigerators,712897,24.1-CU FT BOTTOM-FREEZER ,http://images.lowes.com/product/converted/048231/048231787444.jpg,No,,1049.0,1,1049.0,Scratch and Dent,Side Scratch
ne58k9430ss,Samsung,FREESTANDING RANGES,Slide-In Electric Ranges,780428,Smooth Surface 5-Element Self-Cleaning Slide-In Convection Electric Range (Stainless Steel) (Common: 30-in; Actual 31-in),http://images.lowes.com/product/converted/887276/887276132136.jpg,No,WEX,999.0,1,999.0,Scratch and Dent,Side Dent
WRF535SMBM,Whirlpool,REFRIGERATORS,French Door Refrigerators,509262,25.2-cu ft 3 French Door Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049288956.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
RS25J500DSG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,wex,999.0,1,999.0,Scratch and Dent,Front Dent
WRS322FDAW,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,510332,21.2-cu ft Side-By-Side Refrigerator Single (White),http://images.lowes.com/product/converted/883049/883049244525.jpg,Yes,,899.0,1,899.0,Scratch and Dent,Side Dent
FFHS2611PF,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,488403,26-cu ft Side-by-Side Refrigerator with Single Ice Maker (Easycare Stainless Steel),http://images.lowes.com/product/converted/012505/012505637698.jpg,No,wex,849.0,1,849.0,Scratch and Dent,Side Dent
RT21M6213SR,Samsung,REFRIGERATORS,Top-Freezer Refrigerators,847229,SM 21-CU FT TM RT21M6213SR,http://images.lowes.com/product/converted/887276/887276213859.jpg,No,WEX,799.0,1,799.0,Scratch and Dent,Front Dent
FFHS2611LW,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,72092,26-cu ft Side-by-Side Refrigerator with Single Ice Maker (White),http://images.lowes.com/product/converted/012505/012505698323.jpg,No,wex,79800.0,1,798.0,Scratch and Dent,Side Dent
FFEW3025PS,Frigidaire,SOS APPLIANCES - BUILT INS,Single Electric Wall Ovens,533332,Self-Cleaning Single Electric Wall Oven (Stainless Steel) (Common: 30-in; Actual 30-in),http://images.lowes.com/product/converted/012505/012505800047.jpg,Yes,,749.0,1,749.0,Scratch and Dent,Front Dent
DW80K7050US,Samsung,DISHWASHERS,Built-In Dishwashers,804996,44-Decibel Built-In Dishwasher (Stainless Steel) (Common: 24-in; Actual: 23.875-in) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276166452.jpg,No,WEX,599.0,1,599.0,Scratch and Dent,Front Scratch
