Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description ,Link to sample image on lowes.com,SOS? (Y/N),SOS UPC Number (if applicable),MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,,3199,1,3199,Refurbished,
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,,3199,1,3199,Scratch and Dent,Side Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,,2899,1,2899,Scratch and Dent,Front Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,2649,1,2649,Scratch and Dent,Front Dent
RF23J9011SG,Samsung,APPLIANCE FLOOR DISPLAYS,French Door Refrigerators,751817,22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Single Ice Maker (Black Stainless),http://images.lowes.com/product/converted/887276/887276113340.jpg,No,,2499,1,2499,Refurbished,
WRF993FIFM,Whirlpool,REFRIGERATORS,French Door Refrigerators,612794,32-cu ft 3 French Door Refrigerator Dual Ice Maker (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049382418.jpg,No,WEX,2299,1,2299,Scratch and Dent,Front Dent
RF22KREDBSR,Samsung,SOS REFRIGERATION,French Door Refrigerators,780375,Food Showcase 22.4-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker and Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276146652.jpg,Yes,,2199,1,2199,Scratch and Dent,Front Dent
RH25H5611SR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,648958,Food ShowCase 24.7-cu ft Side-by-Side Refrigerator with Single Ice Maker and Door within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276073446.jpg,No,WEX,2099,1,2099,Scratch and Dent,Side Dent
KRFC300ESS,KitchenAid,APPLIANCE FLOOR DISPLAYS,French Door Refrigerators,503656,20-cu ft 3 Counter-Depth French Door Refrigerator Single Ice Maker (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049360881.jpg,No,,1599,1,1599,Scratch and Dent,Side Dent
FGHC2331PF,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,492537,Gallery 22.2-cu ft Counter-Depth Side-by-Side Refrigerator with Single Ice Maker (Smudge-Proof Stainless Steel),http://images.lowes.com/product/converted/012505/012505636493.jpg,No,,1499,1,1499,Refurbished,
FGHS2631PF,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,488404,Gallery 26-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505636578.jpg,No,WEX,1299,1,1299,Scratch and Dent,Side Dent
FGHS2631PF,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,488404,Gallery 26-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505636578.jpg,No,WEX,1299,1,1299,Scratch and Dent,Front Dent
WEC310S0FW,Whirlpool,SOS RANGES,Slide-In Electric Ranges,734312,4-Element Slide-in Electric Range (White) (Common: 30-in; Actual 29.875-in),http://images.lowes.com/product/converted/883049/883049391861.jpg,Yes,,949,1,949,Scratch and Dent,Side Dent
NE59J7630SG,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,751810,Smooth Surface Freestanding 5-Element 5.9-cu ft Self-Cleaning Convection Electric Range (Black Stainless) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/887276/887276111926.jpg,No,WEX,799,1,799,Scratch and Dent,Side Dent
LFHT1831QF,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,623745,18-cu ft Top-Freezer Refrigerator (Easycare Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505641077.jpg,No,,798,1,798,Scratch and Dent,Side Dent
FFTR1814QS,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,623742,18-cu ft Top-Freezer Refrigerator (Stainless),http://images.lowes.com/product/converted/012505/012505640742.jpg,No,,679,1,679,Scratch and Dent,Side Dent
FFEF3015LS,Frigidaire,FREESTANDING RANGES,Freestanding Electric Ranges,632501,Freestanding 5.3-cu ft Self-Cleaning Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.88-in),http://images.lowes.com/product/converted/012505/012505502941.jpg,No,,599,1,599,Refurbished,
GTE16DTHWW,GE,REFRIGERATORS,Top-Freezer Refrigerators,605192,15.53-cu ft Top-Freezer Refrigerator (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691258896.jpg,No,WEX,598,1,598,Scratch and Dent,Front Dent
FFTR1814QW,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,623739,18-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com/product/converted/012505/012505638060.jpg,No,,579,1,579,Refurbished,
JB250DFWW,GE,FREESTANDING RANGES,Freestanding Electric Ranges,516654,Freestanding 5.3-cu ft Self-Cleaning Electric Range (White) (Common: 30-in; Actual: 29.87-in),http://images.lowes.com/product/converted/084691/084691140122.jpg,No,,449,1,449,Scratch and Dent,Front Scratch
FFTR1814TW,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,852884,18-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com,No,,429,1,429,Scratch and Dent,Side Dent
WRT314TFDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,651269,28-in 14.33-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (White),http://images.lowes.com/product/converted/883049/883049359359.jpg,Yes,,429,1,429,Refurbished,
WFG320MOBW,WHIRLPOOL,GAS RANGE,GAS RANGE,585873,5.1 CU-FT GAS RANGE,http://images.lowes.com,No,wex,399,1,399,Scratch and Dent,Side Dent
WFE320M0EW,Whirlpool,FREESTANDING RANGES,Freestanding Electric Ranges,673898,Smooth Surface Freestanding 4 4.8-cu ft Electric Range (White) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049354699.jpg,No,,399,1,399,Refurbished,
WZC3115DW,Whirlpool,SOS FREEZERS,Chest Freezers,647424,15-cu ft Chest Freezer with (White),http://images.lowes.com/product/converted/883049/883049355214.jpg,Yes,,399,1,399,Refurbished,
WFE320M0EB,Whirlpool,FREESTANDING RANGES,Freestanding Electric Ranges,673896,Smooth Surface Freestanding 4 4.8-cu ft Electric Range (Black) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049354675.jpg,No,,399,1,399,Refurbished,
WDF520PADM,Whirlpool,DISHWASHERS,Built-In Dishwashers,625597,55-Decibel Built-In Dishwasher (Monochromatic Stainless Steel) (Common: 24-in; Actual: 23.875-in) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049340821.jpg,No,,299,1,299,Scratch and Dent,Front Dent
