Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
GYE22HSKSS,GE,REFRIGERATORS,French Door Refrigerators,786387,22.2-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691818168.jpg,No,WEX,2609,1,2609,Refurbished
LFXC24726D,LG,SOS REFRIGERATION,French Door Refrigerators,481240,24-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Black Stainless) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231786980.jpg,Yes,SOS,2399,1,2399,Refurbished
LFXC24726S,LG,REFRIGERATORS,French Door Refrigerators,618006,24-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231786478.jpg,No,WEX,2299,1,2299,Refurbished
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,,2299,1,2299,Refurbished
WRF767SDEM,Whirlpool,WHIRLPOOL,French Door Refrigerators,699464,26.8-cu ft 3-Door French Door Refrigerator Dual Ice Maker (Monochromatic Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049375595.jpg,No,WEX,1999,1,1999,Refurbished
RF263BEAESR,Samsung,SOS REFRIGERATION,French Door Refrigerators,580483,25.6-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590045.jpg,Yes,SOS,1999,1,1999,Refurbished
WRX735SDBM,Whirlpool,REFRIGERATORS,French Door Refrigerators,480819,24.5-cu ft 4 French Door Refrigerator Single Ice Maker (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049282565.jpg,No,,1599,1,1599,Refurbished
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,,1599,1,1599,Refurbished
LGHB2867PF,Frigidaire,REFRIGERATORS,French Door Refrigerators,493399,Gallery 27.86-cu ft French Door Refrigerator Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505637483.jpg,No,WEX,1599,1,1599,Refurbished
LFHB2751TF,Frigidaire,REFRIGERATORS,French Door Refrigerators,852874,Frigidaire 26.8-cu ft 3-Door French Door Refrigerator Single Ice Maker (Easycare Stainless Steel) ENERGY STAR ,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-3-Door-French-Door-Refrigerator-Single-Ice-Maker-Easycare-Stainless-Steel-ENERGY-STAR/1000225693,No,WEX,1299,1,1299,Refurbished
WRF535SMBM,Whirlpool,REFRIGERATORS,French Door Refrigerators,509262,25.2-cu ft 3 French Door Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049288956.jpg,No,,1099,1,1099,Refurbished
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,WEX,1099,1,1099,Refurbished
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,WEX,1099,1,1099,Refurbished
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,WEX,1099,1,1099,Refurbished
FGHS2631PF,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,488404,Gallery 26-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505636578.jpg,No,WEX,999,1,999,Refurbished
FFHS2611LB,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,153878,26-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black),http://images.lowes.com/product/converted/012505/012505699115.jpg,No,,798,1,798,Refurbished
NE59J7630SG,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,751810,Smooth Surface Freestanding 5-Element 5.9-cu ft Self-Cleaning Convection Electric Range (Black Stainless) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/887276/887276111926.jpg,No,WEX,779,1,779,Refurbished
NE59J7630SG,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,751810,Smooth Surface Freestanding 5-Element 5.9-cu ft Self-Cleaning Convection Electric Range (Black Stainless) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/887276/887276111926.jpg,No,WEX,779,1,779,Refurbished
WRT311FZDM,Whirlpool,REFRIGERATORS,Top-Freezer Refrigerators,623786,20.5-cu ft Top-Freezer Refrigerator (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049322711.jpg,No,,699,1,699,Refurbished
