Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
MEDB855DC,Maytag,LAUNDRY,Electric Dryers,844775,8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332260.jpg,No,,749.0,1,749.0,Scratch and Dent,Side Dent
WTW8500DC,Whirlpool,LAUNDRY,Top-Load Washers,632519,Cabrio 6.1-cu-ft High-Efficiency Top-Load Washer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049330815.jpg,No,,749.0,1,749.0,Scratch and Dent,Side Dent
DLE3170W,LG,LAUNDRY,Electric Dryers,645121,7.4-cu ft Stackable Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231014748.jpg,No,,719.0,1,719.0,Scratch and Dent,Side Dent
WF45M5500AZ,Samsung,LAUNDRY,Front-Load Washer,835573,SM FL WASHER WF45M5500AZ (-780059,http://images.lowes.com/product/converted/887276/887276201634.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
WA52M7750AV,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
DVE45M5500Z,Samsung,LAUNDRY,Front-Load Washer,835574,SM E DRYER DVE45M5500Z (-780060,http://images.lowes.com/product/converted/887276/887276202464.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,,674.0,1,674.0,Scratch and Dent,Side Dent
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,,674.0,1,674.0,Scratch and Dent,Side Dent
MVWC565FW,Maytag,LAUNDRY,Top-Load Washers,782473,4.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049409726.jpg,No,,649.0,1,649.0,Scratch and Dent,Side Dent
WA50M7450AW,Samsung,LAUNDRY,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,,549.0,1,549.0,Scratch and Dent,Front Dent
DV42H5000EW,Samsung,LAUNDRY,Electric Dryers,566002,7.5-cu ft Stackable Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963167.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Dent
DV45H7000EW,Samsung,LAUNDRY,Electric Dryers,565955,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963877.jpg,No,,479.0,1,479.0,Scratch and Dent,Front Dent
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,479.0,1,479.0,Scratch and Dent,Side Dent
MVWC416FW,Maytag,LAUNDRY,Top-Load Washers,803260,4.2-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049420202.jpg,No,,429.0,1,429.0,Scratch and Dent,Side Dent
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,399.0,1,399.0,Scratch and Dent,Side Dent
