Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
RF23HCEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,598752,22.5-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966106.jpg,Yes,sos,2399,1,2399,Refurbished
LFHB2741PF,Frigidaire,REFRIGERATORS,French Door Refrigerators,493398,27.19-cu ft French Door Refrigerator with Single Ice Maker (Easycare Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505637537.jpg,No,,1776,1,1776,Refurbished
WFE745H0FH,Whirlpool,SOS RANGES,Freestanding Electric Ranges,723794,Smooth Surface Freestanding 5-Element 6.4-cu ft Self-Cleaning Convection Electric Range (White Ice) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049396323.jpg,No,,999,1,999,Refurbished
WA52M7750AV,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,999,1,999,Refurbished
WF42H5000AW,Samsung,LAUNDRY,Front-Load Washers,566001,4.2-cu ft High-Efficiency Stackable Front-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962887.jpg,No,,799,1,799,Refurbished
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,699,1,699,Refurbished
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,699,1,699,Refurbished
MVWC565FW,Maytag,LAUNDRY,Top-Load Washers,782473,4.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049409726.jpg,No,,649,1,649,Refurbished
WRT311FZDW,Whirlpool,REFRIGERATORS,Top-Freezer Refrigerators,623784,20.5-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com/product/converted/883049/883049303192.jpg,No,,599,1,599,Refurbished
WRT318FZDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623781,29.75-in 18.2-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (White),http://images.lowes.com/product/converted/883049/883049326948.jpg,No,,519,1,519,Refurbished
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,479,1,479,Refurbished
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,449,1,449,Refurbished
GTW330ASKWW,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,449,1,449,Refurbished
WFC150M0EW,Whirlpool,FREESTANDING RANGES,Freestanding Electric Ranges,673895,Freestanding 4 4.8-cu ft Electric Range (White) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049361321.jpg,No,,419,1,419,Refurbished
JVM3160RFSS,GE,OTR MICROWAVES,Over-the-Range Microwaves,520293,1.6-cu ft Over-The-Range Microwave (Stainless) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/084691/084691254980.jpg,No,,229,1,229,Refurbished
JVM3160RFSS,GE,OTR MICROWAVES,Over-the-Range Microwaves,520293,1.6-cu ft Over-The-Range Microwave (Stainless) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/084691/084691254980.jpg,No,,229,1,229,Refurbished
