Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,,3199.0,1,3199.0,Scratch and Dent,Front Dent
RF28HMEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,545257,28.15-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966052.jpg,No,,3199.0,1,3199.0,Scratch and Dent,Side Dent
CFE28TSHSS,GE,REFRIGERATORS,French Door Refrigerators,623765,Cafe 27.8-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810070.jpg,No,,3099.0,1,3099.0,Scratch and Dent,Side Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,2649.0,1,2649.0,Scratch and Dent,Front Scratch
RF25HMEDBSG,Samsung,REFRIGERATORS,French Door Refrigerators,714680,Flexzone 24.73-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276139760.jpg,No,wex,2099.0,1,2099.0,Scratch and Dent,Front Scratch
WRS325FDAM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,486062,24.5-cu ft Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049260891.jpg,No,sos,1079.0,1,1079.0,Refurbished,
WRS325FDAM,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,486058,24.5-cu ft Side-By-Side Refrigerator Single (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049260891.jpg,No,,1079.0,1,1079.0,Scratch and Dent,Rear Dent
RS25J500DSR,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,wex,999.0,1,999.0,Scratch and Dent,Side Scratch
DW80K7050UG,Samsung,DISHWASHERS,Built-In Dishwashers,804995,44-Decibel Built-In Dishwasher (Black Stainless Steel) (Common: 24-in; Actual: 23.875-in) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276166438.jpg,No,,699.0,1,699.0,Scratch and Dent,Front Dent
WDT750SAHZ,Whirlpool,DISHWASHERS,DISHWASHER,838387,WP DW WDT750SAHZ,http://images.lowes.com/product/converted/883049/883049431857.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
WRT318FZDM,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,683782,29.75-in 18.2-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049339016.jpg,No,,619.0,1,619.0,Scratch and Dent,Front Dent
WRT318FZDM,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623782,29.75-in 18.2-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049339016.jpg,No,,619.0,1,619.0,Scratch and Dent,Side Scratch
GTD45EASJWS,GE,LAUNDRY,Electric Dryers,751714,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691815242.jpg,No,,479.0,1,479.0,Refurbished,
GTD42EASJWW,GE,LAUNDRY,Electric Dryers,751711,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691814085.jpg,No,,449.0,1,449.0,Refurbished,
MEDC215EW,Maytag,LAUNDRY,Electric Dryers,670008,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348469.jpg,No,,399.0,1,399.0,Refurbished,
