Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
MEDB955FC,Maytag,LAUNDRY,Electric Dryers,808079,9.2-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049362205.jpg,No,,1299,1,1299,Refurbished
MEDB855DC,Maytag,LAUNDRY,Electric Dryers,844775,8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332260.jpg,No,,1199,1,1199,Refurbished
WM4370HWA,LG,LAUNDRY,Front-Load Washers,804883,TWINWash Compatible 4.5-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231013260.jpg,No,WEX,989,1,989,Refurbished
DV42H5200EW,Samsung,LAUNDRY,Electric Dryers,565998,7.5-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276963211.jpg,No,,899,1,899,Refurbished
DV42H5200EW,Samsung,LAUNDRY,Electric Dryers,565998,7.5-cu ft Stackable Electric Dryer with Steam Cycle (White),http://images.lowes.com/product/converted/887276/887276963211.jpg,No,,899,1,899,Refurbished
WFW8540FW,Whirlpool,LAUNDRY,Front-Load Washers,803261,4.5-cu ft High-Efficiency Stackable Front-Load Washer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049421407.jpg,No,,809,1,809,Refurbished
DV42H5000EW,Samsung,LAUNDRY,Electric Dryers,566002,7.5-cu ft Stackable Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963167.jpg,No,,799,1,799,Refurbished
DV42H5000EW,Samsung,LAUNDRY,Electric Dryers,566002,7.5-cu ft Stackable Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963167.jpg,No,,799,1,799,Refurbished
DVE50M7450W,Samsung,LAUNDRY,Electric Dryers,835593,SM E DRYER DVE50M7450W (-780072,http://images.lowes.com/product/converted/887276/887276196978.jpg,No,,799,1,799,Refurbished
WF42H5000AW,Samsung,LAUNDRY,Front-Load Washers,566001,4.2-cu ft High-Efficiency Stackable Front-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962887.jpg,No,,799,1,799,Refurbished
WT1501CW,LG,LAUNDRY,Top-Load Washers,745138,4.5-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015905.jpg,No,,749,1,749,Refurbished
WTW8500DC,Whirlpool,LAUNDRY,Top-Load Washers,632519,Cabrio 6.1-cu-ft High-Efficiency Top-Load Washer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049330815.jpg,No,,749,1,749,Refurbished
DLE7200WE,LG,LAUNDRY,Electric Dryers,845040,LG ELEC DRYER DLE7200WE (-150843),http://images.lowes.com/product/converted/048231/048231020282.jpg,No,,719,1,719,Refurbished
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,699,1,699,Refurbished
MVWC565FW,Maytag,LAUNDRY,Top-Load Washers,782473,4.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049409726.jpg,No,,649,1,649,Refurbished
WTW8040DW,Whirlpool,LAUNDRY,Top-Load Washers,670298,5.3-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346458.jpg,No,,649,1,649,Refurbished
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,539,1,539,Refurbished
GTD65EBSJWS,GE,LAUNDRY,Electric Dryers,751717,7.4-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810902.jpg,No,,539,1,539,Refurbished
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,539,1,539,Refurbished
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,479,1,479,Refurbished
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,479,1,479,Refurbished
GTD33EASKWW,GE,LAUNDRY,Electric Dryers,782268,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691819486.jpg,No,,449,1,449,Refurbished
GTD42EASJWW,GE,LAUNDRY,Electric Dryers,751711,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691814085.jpg,No,,449,1,449,Refurbished
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,,399,1,399,Refurbished
HTX21EASKWW,Hotpoint,LAUNDRY,Electric Dryers,804048,6.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691810834.jpg,No,,399,1,399,Refurbished
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,,399,1,399,Refurbished
HTW200ASKWW,Hotpoint,LAUNDRY,Top-Load Washers,804047,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691810650.jpg,No,,399,1,399,Refurbished
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,399,1,399,Refurbished
RTW4516FW,Roper,LAUNDRY,Top-Load Washers,794808,3.5-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049415710.jpg,No,,399,1,399,Refurbished
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,399,1,399,Refurbished
