Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),MAP Value,Qty,Ext. MAP Value,Condition
RF265BEAESG,Samsung,SOS REFRIGERATION,French Door Refrigerators,845502,SM 26 CUFT FD RF265BEAESG,http://images.lowes.com/product/converted/887276/887276213774.jpg,No,2999,1,2999,Refurbished
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,2649,1,2649,Refurbished
GSE25HGHWW,GE,REFRIGERATORS,Side-by-Side Refrigerators,623761,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691260882.jpg,No,1399,1,1399,Refurbished
WRB322DMBW,Whirlpool,SOS REFRIGERATION,Bottom-Freezer Refrigerators,52246,22.07-cu ft Bottom-Freezer Refrigerator with Single Ice Maker (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049288383.jpg,No,1169,1,1169,Refurbished
GSS25LSLSS,GE,REFRIGERATORS,Side-by-Side Refrigerators,533479,25.4 cu ft side by side refrigerator,http://images.lowes.com,No,1099,1,1099,Refurbished
RS25J500DSG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,999,1,999,Refurbished
WFW92HEFW,Whirlpool,LAUNDRY,Front-Load Washers,780018,27-in 5.2-cu ft High-Efficiency Stackable Front-Load Washer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049384559.jpg,No,989,1,989,Refurbished
WM3670HWA,LG,LAUNDRY,Front-Load Washers,790479,TWINWASH Compatible 4.5-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231017497.jpg,No,809,1,809,Refurbished
LRE3061ST,LG,FREESTANDING RANGES,Freestanding Electric Ranges,784518,Smooth Surface Freestanding 5-Element 6.3-cu ft Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/048232/048232330991.jpg,No,799,1,799,Refurbished
LFEF3048QF,Frigidaire,FREESTANDING RANGES,Freestanding Electric Ranges,579999,Smooth Surface Freestanding 4-Element 5.3-cu ft Self-Cleaning Electric Range (Easycare Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/012505/012505509858.jpg,No,629,1,629,Refurbished
GTD65EBSJWS,GE,LAUNDRY,Electric Dryers,751717,7.4-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810902.jpg,No,539,1,539,Refurbished
WED49STBW,Whirlpool,LAUNDRY,Electric Dryers,589158,7-cu ft Electric Dryer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049335261.jpg,No,539,1,539,Refurbished
WTW4816FW,Whirlpool,LAUNDRY,Top-Load Washers,782472,3.5-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049408361.jpg,No,499,1,499,Refurbished
JB250DFBB,GE,FREESTANDING RANGES,Freestanding Electric Ranges,516659,Freestanding 5.3-cu ft Self-Cleaning Electric Range (Black) (Common: 30-in; Actual: 29.87-in),http://images.lowes.com/product/converted/084691/084691140139.jpg,No,449,1,449,Refurbished
FFTR1814TW,Frigidaire,TOP-MOUNTFREEZER,TOP-MOUNT,852884,18 cu ft top mount refrigerator,http://images.lowes.com,No,429,1,429,Refurbished
