Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
WED8500DC,Whirlpool,LAUNDRY,Electric Dryers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,,1199.0,1,1199.0,Scratch and Dent,Front Dent
WED8500DC,Whirlpool,LAUNDRY,Electric Dryers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,,1199.0,1,1199.0,Scratch and Dent,Side Scratch
WED8500DC,Whirlpool,LAUNDRY,Electric Dryers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,,1199.0,1,1199.0,Scratch and Dent,Side Dent
WA52M7750AV,Samsung,LAUNDRY,TOP- LOAD- WASHER,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
DVE52M7750V,Samsung,LAUNDRY,FRONT-LOAD- DRYER,844405,SM E DRYER DVE52M7750V (-669550,http://images.lowes.com/product/converted/887276/887276196855.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
DVE45M5500Z,Samsung,LAUNDRY,FRONT-LOAD DRYER,835574,SM E DRYER DVE45M5500Z (-780060,http://images.lowes.com/product/converted/887276/887276202464.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
DVE52M7750V,Samsung,LAUNDRY,FRONT-LOAD-DRYER,844405,SM E DRYER DVE52M7750V (-669550,http://images.lowes.com/product/converted/887276/887276196855.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
WA52M7750AV,Samsung,LAUNDRY,FRONT-LOAD WASHER,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
DVE52M7750V,Samsung,LAUNDRY,FRONT-LOAD- DRYER,844405,SM E DRYER DVE52M7750V (-669550,http://images.lowes.com/product/converted/887276/887276196855.jpg,No,,999.0,1,999.0,Scratch and Dent,Top Scratch
WTW8500DC,Whirlpool,LAUNDRY,Top-Load Washers,632519,Cabrio 6.1-cu-ft High-Efficiency Top-Load Washer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049330815.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
WF45K6500AW,Samsung,LAUNDRY,Front-Load Washers,714772,AddWash 4.5-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276138138.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Scratch
DLEX3370V,LG,LAUNDRY,Electric Dryers,726522,electric dryer,http://images.lowes.com/product/converted/048231/048231014090.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
WED8540FW,Whirlpool,LAUNDRY,Electric Dryers,803262,7.4-cu ft Stackable Electric Dryer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049421506.jpg,No,,809.0,1,809.0,Scratch and Dent,Side Scratch
WA50M7450AW,Samsung,LAUNDRY,TOP- LOAD- WASHER,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,,799.0,1,799.0,Scratch and Dent,Side Dent
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,539.0,1,539.0,Scratch and Dent,Side Scratch
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,539.0,1,539.0,Scratch and Dent,Side Dent
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Dent
WED4815EW,Whirlpool,LAUNDRY,Electric Dryers,629986,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348247.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Scratch
WED4815EW,Whirlpool,LAUNDRY,Electric Dryers,670009,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049348247.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Dent
WED49STBW,Whirlpool,LAUNDRY,Electric Dryers,589158,7-cu ft Electric Dryer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049335261.jpg,No,,469.0,1,469.0,Scratch and Dent,Front Dent
DV40J3000EW,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,449.0,1,449.0,Scratch and Dent,Side Dent
