Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
WM8100HWA,LG,LAUNDRY,Front-Load Washers,796657,TWINWash Compatible 5.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231017459.jpg,No,,1049.0,1,1049.0,Scratch and Dent,Side Scratch
DLEX3570V,LG,LAUNDRY,Electric Dryers,150847,7.4-cu ft Stackable Electric Dryer with Steam Cycle (Graphite Steel),http://images.lowes.com/product/converted/048231/048231014229.jpg,No,,989.0,1,989.0,Scratch and Dent,Front Dent
MEDB855DC,Maytag,LAUNDRY,Electric Dryers,844775,8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332260.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
WED8540FW,Whirlpool,LAUNDRY,Electric Dryers,803262,7.4-cu ft Stackable Electric Dryer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049421506.jpg,No,,809.0,1,809.0,Scratch and Dent,Side Scratch
WM3270CW,LG,LAUNDRY,Front-Load Washers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,,719.0,1,719.0,Scratch and Dent,Side Dent
MEDB765FW,Maytag,LAUNDRY,Electric Dryers,844769,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049438603.jpg,No,,719.0,1,719.0,Scratch and Dent,Side Dent
MED3500FW,Maytag,LAUNDRY,Electric Dryers,780033,7.4-cu ft Stackable Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049385273.jpg,No,,719.0,1,719.0,Scratch and Dent,Side Dent
DV45H7000EW,Samsung,LAUNDRY,Electric Dryers,565955,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963877.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Scratch
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,,674.0,1,674.0,Scratch and Dent,Side Dent
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,,674.0,1,674.0,Scratch and Dent,Side Scratch
