Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF28K9070SR,Samsung,SOS REFRIGERATION,French Door Refrigerators,780373,Flex 28.1-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276134758.jpg,No,,2599.0,1,2599.0,Customer Returns,
RF28HDEDBSR,Samsung,SOS REFRIGERATION,French Door Refrigerators,734321,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276683782.jpg,No,,2199.0,1,2199.0,Customer Returns,
NE58H9970WS,Samsung,SOS RANGES,Slide-In Induction Ranges,621236,Chef Collection 4-Element 5.8-cu ft Slide-in Induction Range (Stainless Steel) (Common: 30-in; Actual 31-in),http://images.lowes.com/product/converted/887276/887276033013.jpg,No,,2199.0,1,2199.0,Customer Returns,
LSXS26386D,LG,REFRIGERATORS,Side-by-Side Refrigerators,708951,26.1-cu ft Side-by-Side Refrigerator with Single Ice Maker and Door within Door (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231787369.jpg,No,,1699.0,1,1699.0,Customer Returns,
WRF535SWHZ,Whirlpool,REFRIGERATORS,French Door Refrigerators,753010,Whirlpool 25.2-cu ft French Door Refrigerator with Single Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR ,https://www.lowes.com/pd/Whirlpool-25-2-cu-ft-French-Door-Refrigerator-with-Single-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000228559,No,,1299.0,1,1299.0,Customer Returns,
RF260BEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,,1199.0,1,1199.0,Customer Returns,
JS250DFWW,GE,SOS RANGES,Slide-In Electric Ranges,652819,Slide-In Electric Range (White) (Common: 30-in; Actual 31.25-in),http://images.lowes.com/product/converted/084691/084691257646.jpg,No,,999.0,1,999.0,Customer Returns,
LFSS2612TE,Frigidaire,REFRIGERATORS,French Door Refrigerators,852868,Frigidaire 25.5-cu ft Side-By-Side Refrigerator with Ice Maker (Black),https://www.lowes.com/pd/Frigidaire-25-5-cu-ft-Side-By-Side-Refrigerator-with-Ice-Maker-Black/1000245231,No,,699.0,1,699.0,Customer Returns,
WTW8040DW,Whirlpool,LAUNDRY,Top-Load Washers,670298,5.3-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049346458.jpg,No,,649.99,1,649.99,Customer Returns,
NX58H5600SS,Samsung,FREESTANDING RANGES,Freestanding Gas Ranges,617237,5-Burner Freestanding 5.8-cu ft Convection Gas Range (Stainless Steel) (Common: 30-in; Actual: 29.8125-in),http://images.lowes.com/product/converted/887276/887276977423.jpg,No,,649.0,1,649.0,Customer Returns,
WRT311FZDW,Whirlpool,REFRIGERATORS,Top-Freezer Refrigerators,623784,20.5-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com/product/converted/883049/883049303192.jpg,No,,629.0,1,629.0,Customer Returns,
WT7200CW,LG,LAUNDRY,Top-Load Washers,845039,LG TL WASHER WT7200CW (-481181),http://images.lowes.com/product/converted/048231/048231020275.jpg,No,,629.0,1,629.0,Customer Returns,
WF42H5000AW,Samsung,LAUNDRY,Front-Load Washers,566001,4.2-cu ft High-Efficiency Stackable Front-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962887.jpg,No,,578.0,1,578.0,Customer Returns,
WRT314TFDW,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,623777,28-in 14.33-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (White),http://images.lowes.com/product/converted/883049/883049359359.jpg,No,,548.0,1,548.0,Customer Returns,
DV45H7000EW,Samsung,LAUNDRY,Electric Dryers,565955,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963877.jpg,No,,479.0,1,479.0,Customer Returns,
WA45M7050AW,Samsung,LAUNDRY,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,479.0,1,479.0,Customer Returns,
WED49STBW,Whirlpool,LAUNDRY,Electric Dryers,589158,7-cu ft Electric Dryer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049335261.jpg,No,,469.0,1,469.0,Customer Returns,
WED49STBW,Whirlpool,LAUNDRY,Electric Dryers,589158,7-cu ft Electric Dryer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049335261.jpg,No,,469.0,1,469.0,Customer Returns,
WRT111SFDM,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,651430,24.5-in 10.72-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049342337.jpg,No,,467.0,1,467.0,Customer Returns,
HTX21EASKWW,Hotpoint,LAUNDRY,Electric Dryers,804048,6.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691810834.jpg,No,,329.0,1,329.0,Customer Returns,
