Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
WFW92HEFW,Whirlpool,LAUNDRY,Front-Load Washers,780018,27-in 5.2-cu ft High-Efficiency Stackable Front-Load Washer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049384559.jpg,No,,989.0,1,989.0,Refurbished,
WED8500DC,Whirlpool,LAUNDRY,Electric Dryers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,,899.0,1,899.0,Refurbished,
WED8500DC,Whirlpool,LAUNDRY,Top-Load Washers,632523,Cabrio 8.8-cu ft Electric Dryer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049332369.jpg,No,,899.0,1,899.0,Refurbished,
WM3270CW,LG,LAUNDRY,Front-Load Washers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,,719.0,1,719.0,Refurbished,
WM3270CW,LG,LAUNDRY,Front-Load Washers,794816,LG FL WASHER WM3270CW (-645120),http://images.lowes.com/product/converted/048231/048231017527.jpg,No,,719.0,1,719.0,Refurbished,
WA52M7750AV,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,699.0,1,699.0,Refurbished,
DLE1501W,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,No,,674.0,1,674.0,Refurbished,
WF42H5200AF,Samsung,LAUNDRY,Front-Load Washers,565989,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (Merlot) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962986.jpg,No,,649.0,1,649.0,Refurbished,
MEDB835DW,Maytag,LAUNDRY,Electric Dryers,670007,8.8-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335452.jpg,No,,639.0,1,639.0,Refurbished,
MEDB835DW,Maytag,LAUNDRY,Electric Dryers,670007,8.8-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335452.jpg,No,,639.0,1,639.0,Refurbished,
MVWB835DW,Maytag,SOS LAUNDRY - FRONT LOAD WASHERS,Top-Load Washers,670293,6.1-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335490.jpg,No,,639.0,1,639.0,Refurbished,
MVWB835DW,Maytag,SOS LAUNDRY - FRONT LOAD WASHERS,Top-Load Washers,670293,6.1-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335490.jpg,No,,639.0,1,639.0,Refurbished,
MEDB765FW,Maytag,LAUNDRY,Electric Dryers,844769,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049438603.jpg,No,,599.0,1,599.0,Refurbished,
DVE50M7450W,Samsung,LAUNDRY,Electric Dryers,835593,SM E DRYER DVE50M7450W (-780072,http://images.lowes.com/product/converted/887276/887276196978.jpg,No,,549.0,1,549.0,Refurbished,
WA50M7450AW,Samsung,LAUNDRY,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,,549.0,1,549.0,Refurbished,
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,539.0,1,539.0,Refurbished,
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,539.0,1,539.0,Refurbished,
GTW680BSJWS,GE,LAUNDRY,Top-Load Washers,751716,4.6-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,539.0,1,539.0,Refurbished,
GTD45EASJWS,GE,LAUNDRY,Electric Dryers,751714,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691815242.jpg,No,,479.0,1,479.0,Refurbished,
GTW485ASJWS,GE,LAUNDRY,Top-Load Washers,751713,4.9-cu ft Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,479.0,1,479.0,Refurbished,
DV45H7000EW,Samsung,LAUNDRY,Electric Dryers,565955,7.4-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276963877.jpg,No,,479.0,1,479.0,Refurbished,
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,469.0,1,469.0,Refurbished,
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,469.0,1,469.0,Refurbished,
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,469.0,1,469.0,Refurbished,
WED49STBW,Whirlpool,LAUNDRY,Electric Dryers,589158,7-cu ft Electric Dryer Steam Cycle (White),http://images.lowes.com/product/converted/883049/883049335261.jpg,No,,469.0,1,469.0,Refurbished,
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,449.0,1,449.0,Refurbished,
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,,429.0,1,429.0,Refurbished,
MVWC416FW,Maytag,LAUNDRY,Top-Load Washers,803260,4.2-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049420202.jpg,No,,429.0,1,429.0,Refurbished,
GTW330ASKWW,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,399.0,1,399.0,Refurbished,
GTW330ASKWW,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,399.0,1,399.0,Refurbished,
