Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
LFXC24726S,LG,REFRIGERATORS,French Door Refrigerators,618006,24-cu ft Counter-Depth French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231786478.jpg,No,,2299.0,1,2299.0,Customer Returns,
LGHB2867PF,Frigidaire,REFRIGERATORS,French Door Refrigerators,493399,Gallery 27.86-cu ft French Door Refrigerator Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505637483.jpg,No,,2204.0,1,2204.0,Customer Returns,
RF28HFEDTWW,Samsung,REFRIGERATORS,French Door Refrigerators,550808,28.07-cu ft French Door Refrigerator with Dual Ice Maker (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276958408.jpg,No,,1899.0,1,1899.0,Customer Returns,
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,,1899.0,1,1899.0,Customer Returns,
RS25H5111SG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,723983,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276164526.jpg,No,,1299.0,1,1299.0,Customer Returns,
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,,1099.0,1,1099.0,Customer Returns,
RS25J500DSG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,,999.0,1,999.0,Customer Returns,
RS25J500DSG,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,,999.0,1,999.0,Customer Returns,
MEDB835DW,Maytag,LAUNDRY,Electric Dryers,670007,8.8-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335452.jpg,No,,639.0,1,639.0,Customer Returns,
MVWB835DW,Maytag,SOS LAUNDRY - FRONT LOAD WASHERS,Top-Load Washers,670293,6.1-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049335490.jpg,No,,639.0,1,639.0,Customer Returns,
LFTR1832TE,Frigidaire,REFRIGERATORS,Top-Mount Refrigerator,852891,Frigidaire 18-cu ft Top-Freezer Refrigerator (Black),https://www.lowes.com/pd/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-Black/1000260615,No,,611.0,1,611.0,Customer Returns,
WF42H5200AW,Samsung,LAUNDRY,Front-Load Washers,565997,4.2-cu ft High-Efficiency Stackable Front-Load Washer with Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276962993.jpg,No,,599.0,1,599.0,Customer Returns,
GTD45EASJWS,GE,LAUNDRY,Electric Dryers,751714,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691815242.jpg,No,,479.0,1,479.0,Customer Returns,
WTW5000DW,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,469.0,1,469.0,Customer Returns,
GTW460ASJWW,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,449.0,1,449.0,Customer Returns,
WFE320M0EB,Whirlpool,FREESTANDING RANGES,Freestanding Electric Ranges,673896,Smooth Surface Freestanding 4 4.8-cu ft Electric Range (Black) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/883049/883049354675.jpg,No,,449.0,1,449.0,Customer Returns,
FFTR1814QW,Frigidaire,REFRIGERATORS,Top-Freezer Refrigerators,623739,18-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com/product/converted/012505/012505638060.jpg,No,,449.0,1,449.0,Customer Returns,
TEF351EW,Tappan,FREESTANDING RANGES,Freestanding Electric Ranges,225436,Freestanding 4 5.3-cu ft Self-Cleaning Electric Range (White) (Common: 30-in; Actual: 29.88-in),http://images.lowes.com/product/converted/012505/012505540967.jpg,No,,449.0,1,449.0,Customer Returns,
WA40J3000AW,Samsung,LAUNDRY,Top-Load Washers,669552,4-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/887276/887276086989.jpg,No,,429.0,1,429.0,Customer Returns,
HTX21EASKWW,Hotpoint,LAUNDRY,Electric Dryers,804048,6.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691810834.jpg,No,,329.0,1,329.0,Customer Returns,
