Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
LMXS30796S,LG,SOS REFRIGERATION,French Door Refrigerators,852789,Instaview 29.7-cu ft 4-Door French Door Refrigerator Single Ice Maker Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231788854.jpg,No,,2999.0,1,2999.0,Scratch and Dent,Side Dent
RF25HMEDBSG,Samsung,REFRIGERATORS,French Door Refrigerators,714680,Flexzone 24.73-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276139760.jpg,No,,2299.0,1,2299.0,Scratch and Dent,Front Dent
LFX25973D,LG,REFRIGERATORS,French Door Refrigerators,708927,24.1-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/048231/048231787390.jpg,No,,1699.0,1,1699.0,Scratch and Dent,Side Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1599.0,1,1599.0,Scratch and Dent,Front Dent
RF263TEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1599.0,1,1599.0,Scratch and Dent,Side Dent
FFHB2750TD,Frigidaire,REFRIGERATORS,French Door Refrigerators,852875,Frigidaire 26.8-cu ft 3-Door French Door,https://www.lowes.com/pd/Frigidaire-26-8-cu-ft-3-Door-French-Door-Refrigerator-with-Single-Ice-Maker-Black-Stainless-Steel-ENERGY-STAR/1000262637,No,,1399.0,1,1399.0,Scratch and Dent,Top Dent
LSXS26326S,LG,REFRIGERATORS,Side-by-Side Refrigerators,618013,26.2-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/048231/048231786324.jpg,No,,1299.0,1,1299.0,Scratch and Dent,Side Scratch
GNE25JSKSS,GE,SOS REFRIGERATION,French Door Refrigerators,612847,24.8-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691814153.jpg,No,sos,1299.0,1,1299.0,Scratch and Dent,Front Dent
RF260BEAESG,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,,1199.0,1,1199.0,Scratch and Dent,Front Dent
WRB322DMBM,Whirlpool,REFRIGERATORS,Bottom-Freezer Refrigerators,51877,22.07-cu ft Bottom-Freezer Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049288505.jpg,No,,1099.0,1,1099.0,Scratch and Dent,Side Dent
NE58K9430SS,Samsung,FREESTANDING RANGES,Slide-In Electric Ranges,780428,Smooth Surface 5-Element Self-Cleaning Slide-In Convection Electric Range (Stainless Steel) (Common: 30-in; Actual 31-in),http://images.lowes.com/product/converted/887276/887276132136.jpg,No,,1099.0,1,1099.0,Scratch and Dent,Side Scratch
WGE745C0FS,Whirlpool,FREESTANDING RANGES,Double Oven Electric Ranges,803967,30-in Smooth Surface 5 4.2-cu ft/2.5-cu ft Double Oven Convection Electric Range (Stainless Steel),http://images.lowes.com/product/converted/883049/883049399348.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
LGTR1842TD,Frigidaire,REFRIGERATORS,Top Mount Freezor,852896,Frigidaire Gallery 18-cu ft Top-Freezer Refrigerator (Black Stainless Steel),https://www.lowes.com/pd/Frigidaire-Gallery-18-cu-ft-Top-Freezer-Refrigerator-Black-Stainless-Steel/1000255007,No,,899.0,1,899.0,Scratch and Dent,Side Dent
JT3000SFSS,GE,APPLIANCE FLOOR DISPLAYS,Single Electric Wall Ovens,507732,Self-Cleaning Single Electric Wall Oven (Stainless Steel) (Common: 30-in; Actual 29.75-in),http://images.lowes.com/product/converted/084691/084691249818.jpg,No,,799.0,1,799.0,Scratch and Dent,Rear Dent
WZF34X18DW,Whirlpool,SOS FREEZERS,Upright Freezers,646962,17.7-cu ft Upright Freezer (White),http://images.lowes.com/product/converted/883049/883049341620.jpg,No,,699.0,1,699.0,Scratch and Dent,Front Dent
NE59J7630SS,Samsung,FREESTANDING RANGES,Freestanding Electric Ranges,670657,Smooth Surface Freestanding 5-Element 5.9-cu ft Self-Cleaning Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/887276/887276093697.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
JGB700SEJSS,GE,FREESTANDING RANGES,Freestanding Gas Ranges,733217,5-Burner Freestanding 5-cu ft Self-Cleaning with Steam Convection Gas Range (Stainless Steel) (Common: 30-in; Actual: 30-in),http://images.lowes.com/product/converted/084691/084691811381.jpg,No,,699.0,1,699.0,Scratch and Dent,Front Dent
LFSS2612TE,Frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,852868,Frigidaire 25.5-cu ft Side-By-Side Refrigerator with Ice Maker (Black),https://www.lowes.com/pd/Frigidaire-25-5-cu-ft-Side-By-Side-Refrigerator-with-Ice-Maker-Black/1000245231,No,,699.0,1,699.0,Scratch and Dent,Side Dent
LRE3061ST,LG,FREESTANDING RANGES,Freestanding Electric Ranges,784518,Smooth Surface Freestanding 5-Element 6.3-cu ft Convection Electric Range (Stainless Steel) (Common: 30-in; Actual: 29.875-in),http://images.lowes.com/product/converted/048232/048232330991.jpg,No,,649.0,1,649.0,Scratch and Dent,Side Dent
KDFE104DSS,KitchenAid,DISHWASHERS,Built-In Dishwashers,569064,24-in 46-Decibel Built-in Dishwasher (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049292717.jpg,No,,599.0,1,599.0,Scratch and Dent,Rear Dent
GTS21FGKWW,GE,REFRIGERATORS,Top Mount Freezor,749812,GE 20.8-cu ft Top-Freezer Refrigerator (White),https://www.lowes.com/pd/GE-20-8-cu-ft-Top-Freezer-Refrigerator-White/1000214165,No,,599.0,1,599.0,Scratch and Dent,Front Scratch
WDT720PADM,Whirlpool,DISHWASHERS,Built-In Dishwashers,625601,Gold 24-in 51-Decibel Built-in Dishwasher (Monochromatic Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049340913.jpg,No,,539.0,1,539.0,Scratch and Dent,Front Scratch
JB250DFWW,GE,FREESTANDING RANGES,Freestanding Electric Ranges,516654,Freestanding 5.3-cu ft Self-Cleaning Electric Range (White) (Common: 30-in; Actual: 29.87-in),http://images.lowes.com/product/converted/084691/084691140122.jpg,No,,404.0,1,404.0,Scratch and Dent,Top Dent
FFEF3016TS,Frigidaire,FREESTANDING RANGES,Freestanding Electric Ranges,848336,FR FS EL RNG FFEF3016TS(-632501),http://images.lowes.com/product/converted/012505/012505510922.jpg,No,,399.0,1,399.0,Scratch and Dent,Rear Dent
FFEF3003NW,Frigidaire,FREESTANDING RANGES,Freestanding Electric Ranges,304523,Freestanding 4.2-cu ft Electric Range (White) (Common: 30-in; Actual: 29.88-in),http://images.lowes.com/product/converted/012505/012505507687.jpg,No,,319.0,1,319.0,Scratch and Dent,Side Scratch
FFEF3003NW,Frigidaire,FREESTANDING RANGES,Freestanding Electric Ranges,304523,Freestanding 4.2-cu ft Electric Range (White) (Common: 30-in; Actual: 29.88-in),http://images.lowes.com/product/converted/012505/012505507687.jpg,No,,319.0,1,319.0,Scratch and Dent,Front Dent
LFBD2412SF,Frigidaire,DISHWASHERS,Built-In Dishwashers,720691,55-Decibel Built-in Dishwasher with Hard Food Disposer (Easycare Stainless Steel) (Common: 24-in; Actual: 24-in) ENERGY STAR,http://images.lowes.com/product/converted/012505/012505115059.jpg,No,,279.0,1,279.0,Scratch and Dent,Front Dent
