Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
RF28JBEDBSG,Samsung,REFRIGERATORS,French Door Refrigerators,751818,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker and Door Within Door (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276142357.jpg,No,,3899.0,1,3899.0,Scratch and Dent,Front Dent
RF28JBEDBSG,Samsung,REFRIGERATORS,French Door Refrigerators,751818,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker and Door Within Door (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276142357.jpg,No,,3899.0,1,3899.0,Scratch and Dent,Front Scratch
RF28HDEDBSR,Samsung,SOS REFRIGERATION,French Door Refrigerators,734321,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276683782.jpg,No,,3199.0,1,3199.0,Scratch and Dent,Front Dent
RF28HFEDTSR,Samsung,REFRIGERATORS,French Door Refrigerators,545256,28.07-cu ft French Door Refrigerator with Dual Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276966076.jpg,No,,2899.0,1,2899.0,Scratch and Dent,Front Dent
LMXS27626S,LG,REFRIGERATORS,French Door Refrigerators,637317,26.7-cu ft 4-Door French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231786690.jpg,No,,2519.0,1,2519.0,Scratch and Dent,Side Dent
RF28JBEDBSR,Samsung,REFRIGERATORS,French Door Refrigerators,692023,Food Showcase 27.8-cu ft French Door Refrigerator with Single Ice Maker and Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276142364.jpg,No,,2399.0,1,2399.0,Scratch and Dent,Front Dent
LSSG3016ST,LG,SOS RANGES,Slide-In Gas Ranges,733537,Studio 5-Burner 6.3-cu ft Slide-in Convection Gas Range (Stainless Steel) (Common: 30-in; Actual 29.875-in),http://images.lowes.com/product/converted/048231/048231319614.jpg,No,,2199.0,1,2199.0,Scratch and Dent,Side Dent
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,,1999.0,1,1999.0,Scratch and Dent,Rear Dent
RF260BEAESR,Samsung,REFRIGERATORS,French Door Refrigerators,186006,25.5-cu ft French Door Refrigerator with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/036725/036725590175.jpg,No,,1999.0,1,1999.0,Scratch and Dent,Front Dent
FFHB2750TD,FRIGIDAIRE,REFRIGERATORS,French Door Refrigerators,852875,27.19-cu ft fd refrigerator,http://images.lowes.com,No,,1399.0,1,1399.0,Scratch and Dent,Front Dent
