Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
GUD27ESSJWW,GE,Stacked Laundry Centers,Stacked Laundry Centers,689427,GE STKD ELEC W/D GUD27ESSJWW,http://images.lowes.com/product/converted/084691/084691809579.jpg,No,,1399.0,1,1399.0,Scratch and Dent,Side Dent
GUD27ESSJWW,GE,Stacked Laundry Centers,Stacked Laundry Centers,689427,GE STKD ELEC W/D GUD27ESSJWW,http://images.lowes.com/product/converted/084691/084691809579.jpg,No,,1399.0,1,1399.0,Scratch and Dent,Front Dent
DV45K6500EV,Samsung,Electric Dryers,Electric Dryers,780054,SM E DRYER DV45K6500EV (-608179),http://images.lowes.com/product/converted/887276/887276138381.jpg,No,,1099.0,1,1099.0,Scratch and Dent,Top Scratch
WF45K6500AV,Samsung,Front-Load Washers,Front-Load Washers,780053,SM 4.5-CU FT WF45K6500AV (-595341,http://images.lowes.com/product/converted/887276/887276138121.jpg,No,,1099.0,1,1099.0,Scratch and Dent,Side Dent
DVE52M7750V,Samsung,Electric Dryers,Electric Dryers,844405,SM E DRYER DVE52M7750V (-669550,http://images.lowes.com/product/converted/887276/887276196855.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
WA52M7750AV,Samsung,Top-Load Washers,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Scratch
WM5000HVA,LG,Front-Load Washers,Front-Load Washers,751706,LG WASHR FL WM5000HVA 5.2CF G/S,http://images.lowes.com/product/converted/772454/772454064517.jpg,No,,949.0,1,949.0,Scratch and Dent,Side Dent
DV42H5200EP,Samsung,Electric Dryers,Electric Dryers,608181,SM 7.5-CU FT FL E DRY DV42H5200EP,http://images.lowes.com/product/converted/887276/887276963204.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
GTD75ECPLDG,GE,Electric Dryers,Electric Dryers,915316,7.4 CU FT ELEC DRYER GTD75ECPLDG,http://images.lowes.com/product/converted/084691/084691825098.jpg,No,,899.0,1,899.0,Scratch and Dent,Top Scratch
WM3670HWA,LG,Front-Load Washers,Front-Load Washers,790479,LG FL WASHER WM3670HWA (-640798),http://images.lowes.com/product/converted/048231/048231017497.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
DV42H5200EF,Samsung,Electric Dryers,Electric Dryers,565990,SM 7.5-CU FT FL E DRY DV42H5200EF,http://images.lowes.com/product/converted/887276/887276963198.jpg,No,,899.0,1,899.0,Scratch and Dent,Side Dent
WA50M7450AW,Samsung,Top-Load Washers,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,,799.0,1,799.0,Scratch and Dent,Front Scratch
WA50M7450AW,Samsung,Top-Load Washers,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,No,,799.0,1,799.0,Scratch and Dent,Side Dent
DVE50M7450W,Samsung,Electric Dryers,Electric Dryers,835593,SM E DRYER DVE50M7450W (-780072,http://images.lowes.com/product/converted/887276/887276196978.jpg,No,,799.0,1,799.0,Scratch and Dent,Side Dent
WM4370HKA,LG,Front-Load Washers,Front-Load Washers,808113,LG WASHR FL WM4370HKA 5.2CF G/S,http://images.lowes.com/product/converted/772454/772454067846.jpg,No,,799.0,1,799.0,Scratch and Dent,Side Dent
WF42H5000AW,Samsung,Front-Load Washers,Front-Load Washers,566001,SM 4.2-CU FT FL WASHR WF42H5000AW,http://images.lowes.com/product/converted/887276/887276962887.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
GTW680BSJWS,GE,Top-Load Washers,Top-Load Washers,751716,GE TOP LOAD WASHER GTW680BSJWS,http://images.lowes.com/product/converted/084691/084691810780.jpg,No,,699.0,1,699.0,Scratch and Dent,Side Dent
GTD45EASJWS,GE,Electric Dryers,Electric Dryers,751714,GE ELE DRYR GTD45EASJWS (-395166),http://images.lowes.com/product/converted/084691/084691815242.jpg,No,,649.0,1,649.0,Scratch and Dent,Side Scratch
GTD45EASJWS,GE,Electric Dryers,Electric Dryers,751714,GE ELE DRYR GTD45EASJWS (-395166),http://images.lowes.com/product/converted/084691/084691815242.jpg,No,,649.0,1,649.0,Scratch and Dent,Side Dent
WT7200CW,LG,Top-Load Washers,Top-Load Washers,845039,LG WASHR HE TL WT7200CW 5.8 CF WH,http://images.lowes.com/product/converted/772454/772454068416.jpg,No,,599.0,1,599.0,Scratch and Dent,Side Dent
GTW460ASJWW,GE,Top-Load Washers,Top-Load Washers,751710,GE TL WSHR GTW460ASJWW (-395153),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,599.0,1,599.0,Scratch and Dent,Side Scratch
WTW4816FW,Whirlpool,Top-Load Washers,Top-Load Washers,782472,WP 3.5-CU FT WTW4816FW (-670295),http://images.lowes.com/product/converted/883049/883049408361.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Dent
GTW330ASKWW,GE,Top-Load Washers,Top-Load Washers,782267,GE WASHER GTW330ASKWW (-689421),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,499.0,1,499.0,Scratch and Dent,Top Scratch
GTD33EASKWW,GE,Electric Dryers,Electric Dryers,782268,GE E DRYER GTD33EASKWW (-689422),http://images.lowes.com/product/converted/084691/084691819486.jpg,No,,499.0,1,499.0,Scratch and Dent,Side Scratch
GTW330ASKWW,GE,Top-Load Washers,Top-Load Washers,782267,GE WASHER GTW330ASKWW (-689421),http://images.lowes.com/product/converted/084691/084691819462.jpg,No,,499.0,1,499.0,Scratch and Dent,Top Scratch
MVWX655DW,Maytag,Top-Load Washers,Top-Load Washers,637743,MT WASHR HE TL MVWX655DW 5.0 CF,http://images.lowes.com/product/converted/883049/883049330846.jpg,No,,449.0,1,449.0,Scratch and Dent,Side Scratch
MVWX655DW,Maytag,Top-Load Washers,Top-Load Washers,637743,MT WASHR HE TL MVWX655DW 5.0 CF,http://images.lowes.com/product/converted/883049/883049330846.jpg,No,,449.0,1,449.0,Scratch and Dent,Side Scratch
GTW485ASJWS,GE,Top-Load Washers,Top-Load Washers,751713,GE STAINLESS STEEL WASHER,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,449.0,1,449.0,Scratch and Dent,Side Dent
