Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
GUD27ESSJWW,GE,Stacked Laundry Centers,Stacked Laundry Centers,689427,GE STKD ELEC W/D GUD27ESSJWW,http://images.lowes.com/product/converted/084691/084691809579.jpg,No,,1399,1,1399,Refurbished,Refurbished
WED8500DW,Whirlpool,Electric Dryers,Electric Dryers,618349,SOS WP ELEC DRYER WED8500DW,http://images.lowes.com/product/converted/883049/883049332352.jpg,No,,1099,1,1099,Refurbished,Refurbished
DVE45M5500Z,Samsung,Electric Dryers,Electric Dryers,835574,SM E DRYER DVE45M5500Z (-780060,http://images.lowes.com/product/converted/887276/887276202464.jpg,No,,999,1,999,Refurbished,Refurbished
WF45M5500AW,Samsung,Front-Load Washers,Front-Load Washers,835570,SM FL WASHER WF45M5500AW (-780062,http://images.lowes.com/product/converted/887276/887276195360.jpg,No,,899,1,899,Refurbished,Refurbished
WF42H5200AW,Samsung,Front-Load Washers,Front-Load Washers,565997,SM 4.2-CU FT FL WASHR WF42H5200AW,http://images.lowes.com/product/converted/887276/887276962993.jpg,No,,799,1,799,Refurbished,Refurbished
DLE7200WE,LG,Electric Dryers,Electric Dryers,845040,LG ELEC DRYER DLE7200WE (-150843),http://images.lowes.com/product/converted/048231/048231020282.jpg,No,,799,1,799,Refurbished,Refurbished
WF42H5200AW,Samsung,Front-Load Washers,Front-Load Washers,565997,SM 4.2-CU FT FL WASHR WF42H5200AW,http://images.lowes.com/product/converted/887276/887276962993.jpg,No,,799,1,799,Refurbished,Refurbished
WA45M7050AW,Samsung,Top-Load Washers,Top-Load Washers,835591,SM TL WASHER WA45M7050AW (-565954,http://images.lowes.com/product/converted/887276/887276196398.jpg,No,,699,1,699,Refurbished,Refurbished
GTD42EASJWW,GE,Electric Dryers,Electric Dryers,751711,GE ELEC DRYR GTD42EASJWW (-487098,http://images.lowes.com/product/converted/084691/084691814085.jpg,No,,599,1,599,Refurbished,Refurbished
GTW460ASJWW,GE,Top-Load Washers,Top-Load Washers,751710,GE TL WSHR GTW460ASJWW (-395153),http://images.lowes.com/product/converted/084691/084691812005.jpg,No,,599,1,599,Refurbished,Refurbished
MEDC215EW,Maytag,Electric Dryers,Electric Dryers,670008,MT 7.0-CU FT ELEC DRYER MEDC215EW,http://images.lowes.com/product/converted/883049/883049348469.jpg,No,,549,1,549,Refurbished,Refurbished
DV40J3000EW,Samsung,Electric Dryers,Electric Dryers,669553,SM 7.2-CU FT ELEC DRY DV40J3000EW,http://images.lowes.com/product/converted/887276/887276086958.jpg,No,,549,1,549,Refurbished,Refurbished
WED4815EW,Whirlpool,Electric Dryers,Electric Dryers,670009,WP 7.0-CU FT ELEC DRYER WED4815EW,http://images.lowes.com/product/converted/883049/883049348247.jpg,No,,499,1,499,Refurbished,Refurbished
GTW485ASJWS,GE,Top-Load Washers,Top-Load Washers,751713,GE STAINLESS STEEL WASHER,http://images.lowes.com/product/converted/084691/084691810711.jpg,No,,449,1,449,Refurbished,Refurbished
WTW5000DW,Whirlpool,Top-Load Washers,Top-Load Washers,629986,WP WASHR HE TL WTW5000DW 5.0 CF,http://images.lowes.com/product/converted/883049/883049330839.jpg,No,,399,1,399,Refurbished,Refurbished
XHPC155XW,Laundry 1-2-3,Laundry Pedestals,Laundry Pedestals,333409,"WP PED XHPC155XW 15.5""X27"" WH",http://images.lowes.com/product/converted/883049/883049198484.jpg,No,,149,1,149,Scratch and Dent,Side Scratch
