Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition,Condition Comments
rf260beaesg,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,,2199.0,1,2199.0,Scratch and Dent,Rear Dent
wrx735sdhw,Whirlpool,REFRIGERATORS,french Door Refrigerators,729062,24.5 cu ft 4-door fench door regrigerator with icemaker,"",Yes,n/a,1889.0,1,1889.0,Scratch and Dent,Rear Dent
gne25jmkes,GE,SOS REFRIGERATION,French Door Refrigerators,612842,24.8-cu ft French Door Refrigerator with Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691814160.jpg,Yes,n/a,1599.0,1,1599.0,Scratch and Dent,Rear Dent
gne25jgkww,GE,SOS REFRIGERATION,French Door Refrigerators,670855,24.8-cu ft French Door Refrigerator with Single Ice Maker (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691814146.jpg,Yes,n/a,1499.0,1,1499.0,Scratch and Dent,Rear Dent
rf263teaesg,Samsung,REFRIGERATORS,French Door Refrigerators,751820,24.6-cu ft French Door Refrigerator with Dual Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276117799.jpg,No,,1299.0,1,1299.0,Scratch and Dent,Rear Dent
rs25j500dsg,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,730752,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Black Stainless Steel),http://images.lowes.com/product/converted/887276/887276179285.jpg,No,,1299.0,1,1299.0,Scratch and Dent,Side Scratch
gts21fgkww,ge,REFRIGERATORS,Top-Freezer Refrigerators,749812,20.8 cu ft top freezer,"",Yes,n/a,1099.0,1,1099.0,Scratch and Dent,Rear Dent
ha10tg31sb,Haier,REFRIGERATORS,Top-Freezer Refrigerators,644613,10.11-cu ft Top-Freezer Refrigerator (Black),http://images.lowes.com/product/converted/688057/688057308456.jpg,No,,1099.0,1,1099.0,Scratch and Dent,Rear Dent
wrx735sdbm,Whirlpool,REFRIGERATORS,French Door Refrigerators,480819,24.5-cu ft 4 French Door Refrigerator Single Ice Maker (Monochromatic Stainless Steel),http://images.lowes.com/product/converted/883049/883049282565.jpg,No,,999.0,1,999.0,Scratch and Dent,Side Dent
gss25gmhes,GE,SOS REFRIGERATION,FRONT LOAD WASHER,651361,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (Slate),http://images.lowes.com/product/converted/084691/084691808909.jpg,Yes,n/a,999.0,1,999.0,Scratch and Dent,Rear Dent
lgtr1842td,frigidaire,REFRIGERATORS,top freezer,852896,18 cu ft top freezer ,"",No,,999.0,1,999.0,Scratch and Dent,Rear Dent
lfss2612tf,frigidaire,REFRIGERATORS,French Door Refrigerators,852869,25.5-cu ft side by side refrigerator with icee maker,"",No,,999.0,1,999.0,Scratch and Dent,Rear Dent
wrs325fnab,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,831792,24.9-cu ft Side-by-Side Refrigerator (Black),http://images.lowes.com/product/converted/883049/883049437255.jpg,Yes,n/a,999.0,1,999.0,Scratch and Dent,Rear Dent
lmxs30796s,LG,SOS REFRIGERATION,French Door Refrigerators,852789,Instaview 29.7-cu ft 4-Door French Door Refrigerator Single Ice Maker Door Within Door (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231788854.jpg,Yes,n/a,899.0,1,899.0,Scratch and Dent,Rear Dent
lfss2612te,frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,852868,25.5-cu ft side by side refrigerator with ice maker (black),"",No,,899.0,1,899.0,Scratch and Dent,Side Dent
lfss2612te,frigidaire,REFRIGERATORS,Side-by-Side Refrigerators,852868,25.5-cu ft side by side refrigerator with ice maker (black),"",No,,899.0,1,899.0,Scratch and Dent,Rear Dent
gse25hmhes,GE,REFRIGERATORS,Side-by-Side Refrigerators,623763,25.4-cu ft Side-by-Side Refrigerator with Single Ice Maker (Slate) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691261049.jpg,No,,899.0,1,899.0,Scratch and Dent,Rear Dent
lftr2032tf,frigidaire,REFRIGERATORS,top freezer,852899,20.4 cu ft top freezer,"",No,,879.0,1,879.0,Scratch and Dent,Rear Dent
lsxs26326w,LG,SOS REFRIGERATION,Side-by-Side Refrigerators,616432,26.2-cu ft Side-by-Side Refrigerator with Single Ice Maker (Smooth White),http://images.lowes.com/product/converted/048231/048231786331.jpg,Yes,n/a,699.0,1,699.0,Scratch and Dent,Side Dent
rf170brpux6,Fisher & Paykel,SOS REFRIGERATION,Bottom-Freezer Refrigerators,831785,17.5-cu ft Counter-Depth with Single Ice Maker (Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/822843/822843245345.jpg,Yes,n/a,699.0,1,699.0,Scratch and Dent,Rear Dent
lgtr1842td,frigidaire,REFRIGERATORS,top freezer,852896,18 cu ft top freezer ,"",No,,699.0,1,699.0,Scratch and Dent,Rear Dent
rf260beaesg,Samsung,REFRIGERATORS,French Door Refrigerators,730693,25.5-cu ft French Door Refrigerator with Single Ice Maker (Black Stainless Steel) ENERGY STAR,http://images.lowes.com/product/converted/887276/887276181783.jpg,No,,649.0,1,649.0,Scratch and Dent,Rear Dent
rt18m6213ww,Samsung,REFRIGERATORS,top freezer,847230,SM 18-CU FT TM RT18M6213WW,http://images.lowes.com/product/converted/887276/887276213835.jpg,No,,649.0,1,649.0,Scratch and Dent,Side Dent
rs25j500dsr,Samsung,REFRIGERATORS,Side-by-Side Refrigerators,712177,24.52-cu ft Side-by-Side Refrigerator with Single Ice Maker (Stainless Steel),http://images.lowes.com/product/converted/887276/887276099453.jpg,No,,549.0,1,549.0,Scratch and Dent,Rear Dent
hps15bthrww,Hotpoint,SOS REFRIGERATION,Top-Freezer Refrigerators,876299,14.6-cu ft Top-Freezer Refrigerator (White),http://images.lowes.com/product/converted/084691/084691258711.jpg,Yes,n/a,529.0,1,529.0,Scratch and Dent,Rear Dent
wrt314tfdb,Whirlpool,SOS REFRIGERATION,Top-Freezer Refrigerators,651492,28-in 14.33-cu ft Top-Freezer Refrigerator Optional (Sold Separately) (Black),http://images.lowes.com/product/converted/883049/883049359342.jpg,Yes,n/a,499.0,1,499.0,Scratch and Dent,Side Scratch
wrs325fdad,Whirlpool,SOS REFRIGERATION,Side-by-Side Refrigerators,612487,24.5-cu ft Side-by-Side Refrigerator with Single Ice Maker (Universal Silver),http://images.lowes.com/product/converted/883049/883049244631.jpg,Yes,n/a,499.0,1,499.0,Scratch and Dent,Rear Dent
