Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
wtw8500dc,Whirlpool,LAUNDRY,Top-Load Washers,632519,Cabrio 6.1-cu-ft High-Efficiency Top-Load Washer with Steam Cycle (Chrome Shadow) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049330815.jpg,,,1199,1,1199,Refurbished
dve45m5500z,Samsung,LAUNDRY,Electric Dryers,835574,SM E DRYER DVE45M5500Z (-780060,http://images.lowes.com/product/converted/887276/887276202464.jpg,,,999,1,999,Refurbished
wa52m7750av,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,,,999,1,999,Refurbished
wa52m7750av,Samsung,LAUNDRY,Top-Load Washers,844404,SM TL WASHER WA52M7750AV (-669549,http://images.lowes.com/product/converted/887276/887276196428.jpg,,,999,1,999,Refurbished
mvwb865gw,Maytag,Top-Load Washers,Top-Load Washers,916485,MT TL WASHER MVWB865GW,http://images.lowes.com/product/converted/883049/883049463001.jpg,,,899,1,899,Refurbished
wed7500gc,Whirlpool,Electric Dryers,Electric Dryers,916479,WP FL ELEC DRYER WED7500GC,http://images.lowes.com/product/converted/883049/883049447339.jpg,,,899,1,899,Refurbished
dle3170w,LG,LAUNDRY,Electric Dryers,645121,7.4-cu ft Stackable Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231014748.jpg,,,799,1,799,Refurbished
wa50m7450aw,Samsung,LAUNDRY,Top-Load Washers,835592,SM TL WASHER WA50M7450AW (-780071,http://images.lowes.com/product/converted/887276/887276196411.jpg,,,799,1,799,Refurbished
dle1501w,LG,LAUNDRY,Electric Dryers,745139,7.3-cu ft Electric Dryer (White) ENERGY STAR,http://images.lowes.com/product/converted/048231/048231015912.jpg,,,749,1,749,Refurbished
wed7000dw,Whirlpool,LAUNDRY,Electric Dryers,670010,7-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049332338.jpg,,,699,1,699,Refurbished
gtd42gasjww,GE,LAUNDRY,Gas Dryers,751712,7.2-cu ft Gas Dryer (White),http://images.lowes.com/product/converted/084691/084691814078.jpg,,,699,1,699,Refurbished
mvwc565fw,Maytag,LAUNDRY,Top-Load Washers,782473,4.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049409726.jpg,,,599,1,599,Refurbished
mvwc565fw,Maytag,LAUNDRY,Top-Load Washers,782473,4.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049409726.jpg,,,599,1,599,Refurbished
wgd4815ew,Whirlpool,LAUNDRY,Gas Dryers,670018,7-cu ft Gas Dryer (White),http://images.lowes.com/product/converted/883049/883049348490.jpg,,,599,1,599,Refurbished
gtw460asjww,GE,LAUNDRY,Top-Load Washers,751710,4.2-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691812005.jpg,,,599,1,599,Refurbished
dv40j3000ew,Samsung,LAUNDRY,Electric Dryers,669553,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/887276/887276086958.jpg,,,549,1,549,Refurbished
