Model Number,Manufacturer Brand Name,Product Category,Product Sub-Category,Lowe's Item Number,Lowe's Item Description,Link to sample image,SOS? (Y/N),SOS UPC Number,MAP Value,Qty,Ext. MAP Value,Condition
mgdb855dc,Maytag,LAUNDRY,Gas Dryers,844778,8.8-cu ft Gas Dryer with Steam Cycle (Chrome Shadow),http://images.lowes.com/product/converted/883049/883049332314.jpg,,,1299,1,1299,Customer Returns
waT28401uc,bosch,LAUNDRY,LAUNDRY,700699,500 Series 2.2-cu ft High-Efficiency Stackable Front-Load Washer (White/Silver) ENERGY STAR,http://images.lowes.com/product/converted/825225/825225912774.jpg,,,1199,1,1199,Customer Returns
wat28400uc,Bosch,LAUNDRY,Front-Load Washers,705037,300 Series 2.2-cu ft High-Efficiency Stackable Front-Load Washer (White),http://images.lowes.com/product/converted/825225/825225912767.jpg,,,1049,1,1049,Customer Returns
wf45m5500az,samsung,LAUNDRY,LAUNDRY,835574,SM FL WASHER WF45M5500AZ (-780059,http://images.lowes.com/product/converted/887276/887276201634.jpg,,,999,1,999,Customer Returns
med5500fw,Maytag,LAUNDRY,Electric Dryers,780036,7.4-cu ft Stackable Electric Dryer Steam Cycle (White) ENERGY STAR,http://images.lowes.com/product/converted/883049/883049385297.jpg,,,999,1,999,Customer Returns
wf45m5500az,Samsung,LAUNDRY,Front-Load Washers,835573,SM FL WASHER WF45M5500AZ (-780059,http://images.lowes.com/product/converted/887276/887276201634.jpg,,,999,1,999,Customer Returns
gtd75gcslws,GE,Gas Dryers,Gas Dryers,903761,GE GAS DRYER GTD75GCSLWS,http://images.lowes.com/product/converted/084691/084691824268.jpg,,,899,1,899,Customer Returns
gtd45easjws,GE,LAUNDRY,Electric Dryers,751714,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691815242.jpg,,,649,1,649,Customer Returns
gtd45easjws,GE,LAUNDRY,Electric Dryers,751714,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691815242.jpg,,,649,1,649,Customer Returns
gtw485asjws,GE,LAUNDRY,Top-Load Washers,751713,4.2-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691815235.jpg,,,649,1,649,Customer Returns
gtw485asjws,GE,LAUNDRY,Top-Load Washers,751713,4.2-cu ft High-Efficiency Top-Load Washer (White) ENERGY STAR,http://images.lowes.com/product/converted/084691/084691815235.jpg,,,649,1,649,Customer Returns
wtw5000dw,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,,,599,1,599,Customer Returns
wtw5000dw,Whirlpool,LAUNDRY,Top-Load Washers,629986,Cabrio 5-cu-ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049330839.jpg,,,599,1,599,Customer Returns
gtd42easjww,GE,LAUNDRY,Electric Dryers,751711,7.2-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/084691/084691814085.jpg,,,599,1,599,Customer Returns
gtw330askww,GE,LAUNDRY,Top-Load Washers,782267,3.8-cu ft Top-Load Washer (White),http://images.lowes.com/product/converted/084691/084691819462.jpg,,,499,1,499,Customer Returns
rtw4516fw,Roper,LAUNDRY,Top-Load Washers,794808,3.5-cu ft High-Efficiency Top-Load Washer (White),http://images.lowes.com/product/converted/883049/883049415710.jpg,,,399,1,399,Customer Returns
red4516fw,Roper,LAUNDRY,Electric Dryers,794809,6.5-cu ft Electric Dryer (White),http://images.lowes.com/product/converted/883049/883049414768.jpg,,,399,1,399,Customer Returns
