Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP
WRF540CWBM,"36"" WIDE CD FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,B,8,630.0,5040.00,2099.0,16792.0
WRT348FMES,18 CUFT WHP LC ESTAR GLASS SS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,B,6,285.0,1710.00,949.0,5694.0
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,B,2,540.0,1080.00,1799.0,3598.0
KODE507ESS,27 INCH ELEC CONV PYRO DOUBLE OVEN,"Built-in, Food Preparation",Ovens - Built-in - Food Prep,KAD,B,1,1190.0,1190.00,3499.0,3499.0
WRV986FDEM,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,B,1,1020.0,1020.00,3399.0,3399.0
WRX988SIBM,28 CU FT. EXTERNAL I&W 4 DOOR,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,B,1,930.0,930.00,3099.0,3099.0
JDS1450DP,"30"" SI RANGE DF CONV ALT CLN PRO","Freestanding, Food Preparation","Slide-in, Range/Cooker",JEN,B,1,600.0,600.00,2999.0,2999.0
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,B,2,420.0,840.00,1399.0,2798.0
KFDD500ESS,"30"" DO RANGE DUAL FUEL CONV SLF CLN SS","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,KAD,B,1,884.0,884.00,2599.0,2599.0
MVWB765FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,B,2,306.0,612.00,899.0,1798.0
MBF2258FEZ,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,B,1,450.0,450.00,1499.0,1499.0
WRB322DMBM,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,B,1,450.0,450.00,1499.0,1499.0
WRS335FDDM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,B,1,450.0,450.00,1499.0,1499.0
WRT108FZDB,"08' FLAT DR, WIRE TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,B,2,225.0,450.00,749.0,1498.0
WFE320M0ES,"30"" FS ELEC CERAN STD CLEAN","Freestanding, Food Preparation",Ranges,WHR,B,2,238.0,476.00,699.0,1398.0
WFW92HEFC,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,B,1,442.0,442.00,1299.0,1299.0
WED8500DC,"29"", AXIAL FLOW STEAM DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,B,1,442.0,442.00,1299.0,1299.0
WED92HEFC,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,B,1,442.0,442.00,1299.0,1299.0
WRS331FDDM,REFRIGERATOR 21 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,B,1,390.0,390.00,1299.0,1299.0
WZC3115DW,"15' HORIZONTAL FREEZER, WHR, OPP+LOCK",Free Standing Freezer,Direct Cool Horizontal-FreeStanding Frez,WHR,B,2,187.0,374.00,549.0,1098.0
WFE770H0FZ,"30"" FS ELECTRIC RANGE AFP SS","Freestanding, Food Preparation",Ranges,WHR,B,1,357.0,357.00,1049.0,1049.0
WFG540H0ES,"30"" FS GAS CONV AQUALIFT","Freestanding, Food Preparation",Ranges,WHR,B,1,357.0,357.00,1049.0,1049.0
WRT549SZDM,"19' GLASS TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,B,1,300.0,300.00,999.0,999.0
WFE540H0ES,"30""FS ELEC CERAN CONV AQUALIFT","Freestanding, Food Preparation",Ranges,WHR,B,1,323.0,323.00,949.0,949.0
MGR6600FZ,"30"" FS GAS 5-BURNER AFP SS","Freestanding, Food Preparation",Ranges,MAY,B,1,323.0,323.00,949.0,949.0
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,B,1,272.0,272.00,799.0,799.0
WFE515S0ES,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,B,1,255.0,255.00,749.0,749.0
MGDC215EW,"MAYTAG 29"" GAS DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,B,1,255.0,255.00,749.0,749.0
WZF34X18DW,"18' UPRIGHT FROST FREE OPP,WHR",Free Standing Freezer,No Frost Vert - Free Standing Frez,WHR,B,1,255.0,255.00,749.0,749.0
MZF34X18FW,18' UPRIGHT FRZ FROST FREE.MAY,Free Standing Freezer,No Frost Vert - Free Standing Frez,GDR,B,1,255.0,255.00,749.0,749.0
WRT318FZDW,"18' FLAT DR, GLASS TOP MOUNT, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,B,1,225.0,225.00,749.0,749.0
WFG515S0EB,"30"" FS GAS SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,B,1,238.0,238.00,699.0,699.0
WZF34X16DW,"16' UPRIGHT FROST FREE OPP,WHR",Free Standing Freezer,No Frost Vert - Free Standing Frez,WHR,B,1,221.0,221.00,649.0,649.0
WED4815EW,"WHIRLPOOL 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,WHR,B,1,204.0,204.00,599.0,599.0
WDF540PADM,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,B,1,204.0,204.00,599.0,599.0
XHPC155YC,"15.5"" PEDESTAL","Fabric Care - Parts, Accessories & Service Contracts",Laundry Stations (prior name Pedestals),123,B,2,102.0,204.00,299.0,598.0
ADB1500ADS,DISHWASHER-FID PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,AMA,B,1,187.0,187.00,549.0,549.0
RTW4516FW,TOP LD WASHR 3.5 PORCELAIN BASKET W/AGI,Washers,Vertical Axis - w/ Agitator,ROP,B,1,170.0,170.00,499.0,499.0
ACR4303MFB,"30"" ELEC FSR STD CLEAN COIL","Freestanding, Food Preparation",Ranges,AMA,B,1,136.0,136.00,399.0,399.0
WMH32519FB,WHR MHC 1.9 CUFT SENSOR 3 SPD,MWO,"Microwave, Hood, Combination",WHR,B,1,98.0,98.00,289.0,289.0
AMV2307PFS,AMA MHC 1.6 CUFT 2 SPD 300 CFM,MWO,"Microwave, Hood, Combination",AMA,B,1,88.0,88.00,259.0,259.0
