Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP
MVWC565FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,C,4,187.25,749.00,749.0,2996.0
KDTE104ESS,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,C,3,237.25,711.75,949.0,2847.0
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,C,2,349.75,699.50,1399.0,2798.0
WTW8500DC,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,C,2,324.75,649.50,1299.0,2598.0
KUID308ESS,"18"" CLEAR ICE MAKER - DROP DOWN DOOR",Built-in Ice Maker,Cold Plate Single - Built-in Ice Maker,KAD,C,1,599.75,599.75,2399.0,2399.0
MEDX655DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,C,3,199.75,599.25,799.0,2397.0
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,C,1,574.75,574.75,2299.0,2299.0
WRF555SDFZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,C,1,524.75,524.75,2099.0,2099.0
WTW4816FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,C,3,149.75,449.25,599.0,1797.0
WGE745C0FS,"30"" DOUBLE OVEN RANGE ELECTRIC SS","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,WHR,C,1,362.25,362.25,1449.0,1449.0
MBF1958FEB,COMM ELECTRIC DRYER MARION,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,C,1,349.75,349.75,1399.0,1399.0
WET4027EW,"27"" ELEC FULL SIZE STACK  240V",Washers / Dryers,Stacked Washer / Dryer Pairs,WHR,C,1,349.75,349.75,1399.0,1399.0
MDB4949SDZ,"GWS CHOPPER, BUILT-IN DISHWASHER",Dishwashers,Built-in - Dishwasher,MAY,C,2,174.75,349.50,699.0,1398.0
MVWB855DC,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,C,1,324.75,324.75,1299.0,1299.0
MEDB855DC,"29"", AXIAL FLOW STEAM DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,C,1,324.75,324.75,1299.0,1299.0
