Model,Model Desc,Product Type,Product Sub-Type,Brand,MSRP,Class,Qty,Price,Total Amt
KRFF300ESS,20' INTERNAL WATER FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3998.0,B,2,680.0,1360.00
WRF992FIFM,32' 3X EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3599.0,B,1,1224.0,1224.00
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3598.0,B,2,612.0,1224.00
KRFF707ESS,27' EXT. I&W FDBM - FERRARI,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3499.0,B,1,1190.0,1190.00
WRX988SIBM,28 CU FT. EXTERNAL I&W 4 DOOR,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3099.0,B,1,1054.0,1054.00
KRFF507ESS,27' EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2999.0,B,1,1020.0,1020.00
WRT549SZDM,"19' GLASS TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1998.0,B,2,340.0,680.00
MGDX655DW,"29"" WOD, LOOP FLOW DRYER, GAS",Dryers,Air Vented - Dryer TL Matching,MAY,1798.0,B,2,306.0,612.00
ART104TFDW,"14' TOP FREEZER, WHTE",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,AMA,1797.0,B,3,204.0,612.00
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,1598.0,B,2,272.0,544.00
WTW5000DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,1498.0,B,2,255.0,510.00
WGE745C0FS,"30"" DOUBLE OVEN RANGE ELECTRIC SS","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,WHR,1449.0,B,1,493.0,493.00
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1399.0,B,1,476.0,476.00
WFG320M0BS,"30"" GAS RANGE FW GRATE SS","Freestanding, Food Preparation",Ranges,WHR,1398.0,B,2,238.0,476.00
WED8500DC,"29"", AXIAL FLOW STEAM DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,1299.0,B,1,442.0,442.00
KMBS104ESS,"KITCHENAID 24"", 1000W BUILT-IN MICROWAVE",MWO,"Built-in, MWO",KAD,1299.0,B,1,442.0,442.00
WTW8500DC,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,1299.0,B,1,442.0,442.00
MED8200FW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,MAY,1249.0,B,1,425.0,425.00
WED92HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,1199.0,B,1,408.0,408.00
