Model,Model Desc,Product Type,Product Sub-Type,Brand,MSRP,Class,Qty,Price,Total Amt
KBBL206EPA,36IN. 2DR BM OVERLAY N.DISP,Built-in Refrigerator Freezer,No Frost Bottom - Built-in Refr Frez,KAD,7499.0,B,1,2550.0,2550.00
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,4598.0,B,2,782.0,1564.00
WRF736SDAM,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,4598.0,B,2,782.0,1564.00
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,4197.0,B,3,476.0,1428.00
KRMF706ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3899.0,B,1,1326.0,1326.00
MFT2776FEZ,27' AK12 EXT I&W,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,2799.0,B,1,952.0,952.00
KRSF505ESS,REFRIGERATOR 26 CUFT DUAL-EVAP SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,KAD,2599.0,B,1,884.0,884.00
WRX735SDBE,4 DOOR DOVETAIL PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2299.0,B,1,782.0,782.00
WTW5000DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,2247.0,B,3,255.0,765.00
KSF26C4XYY,REFRIG-FD XXL IDI - VBL LITE,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,KAD,2099.0,B,1,714.0,714.00
WRT348FMES,18 CUFT WHP LC ESTAR GLASS SS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1898.0,B,2,323.0,646.00
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1799.0,B,1,612.0,612.00
WED75HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,1798.0,B,2,306.0,612.00
WFW75HEFW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,1798.0,B,2,306.0,612.00
MET8720DS,"30"" ELEC DBL OVEN FAN CONV RANGE","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,MAY,1599.0,B,1,544.0,544.00
MET8720DE,"30"" ELEC DBL OVEN FAN CONV RANGE","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,MAY,1549.0,B,1,527.0,527.00
WOS51EC7AS,27 INCH NON-CONV ELEC PYRO SINGLE OVEN,"Built-in, Food Preparation",Ovens - Built-in - Food Prep,WHR,1399.0,B,1,476.0,476.00
MVWB955FC,"ADVANTAGE, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,1399.0,B,1,476.0,476.00
KMBS104ESS,"KITCHENAID 24"", 1000W BUILT-IN MICROWAVE",MWO,"Built-in, MWO",KAD,1299.0,B,1,442.0,442.00
WTW8500DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,1199.0,B,1,408.0,408.00
WEE510S0FS,WHR FRONTCTRL SELF CLN RADIANT,"Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,1149.0,B,1,391.0,391.00
ASI2275FRS,REFRIGERATOR 22 CUFT DISP SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,AMA,1099.0,B,1,374.0,374.00
AER6303MFB,"30""E FSR 4 TOP RADIANT STD CLN","Freestanding, Food Preparation",Ranges,AMA,1098.0,B,2,187.0,374.00
WFE745H0FS,"30"" FS ELECTRIC RANGE SS","Freestanding, Food Preparation",Ranges,WHR,1049.0,B,1,357.0,357.00
WRT311FZDM,"21' TM,FLAT,MONO SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1049.0,B,1,357.0,357.00
WED8000DW,"29"", AXIAL FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,999.0,B,1,340.0,340.00
WRT511SZDW,"21' TM,CONTOUR,WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,999.0,B,1,340.0,340.00
WRT549SZDM,"19' GLASS TM, BL",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,999.0,B,1,340.0,340.00
WRT311FZDB,"21' TM,FLAT,BLACK",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,949.0,B,1,323.0,323.00
MER8700DS,"30"" ELEC RANGE - FAN CONV","Freestanding, Food Preparation",Ranges,MAY,949.0,B,1,323.0,323.00
MVWB765FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,899.0,B,1,306.0,306.00
MZF34X20DW,"20' UPRIGHT FRZ FROST FREE,MAY",Free Standing Freezer,No Frost Vert - Free Standing Frez,MAY,849.0,B,1,289.0,289.00
ART348FFFW,"30"" TOP FREEZER-GLASS SHELVES-18 CU FT",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,AMA,749.0,B,1,255.0,255.00
WED5000DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,749.0,B,1,255.0,255.00
MGDC215EW,"MAYTAG 29"" GAS DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,749.0,B,1,255.0,255.00
WFE530C0EW,"30"" FS ELEC CONV SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,749.0,B,1,255.0,255.00
WFE320M0ES,"30"" FS ELEC CERAN STD CLEAN","Freestanding, Food Preparation",Ranges,WHR,699.0,B,1,238.0,238.00
MEDC215EW,"MAYTAG 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,649.0,B,1,221.0,221.00
WFE320M0EW,"30"" FS ELEC CERAN STD CLEAN","Freestanding, Food Preparation",Ranges,WHR,599.0,B,1,204.0,204.00
WED4815EW,"WHIRLPOOL 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,WHR,599.0,B,1,204.0,204.00
MZC31T15DW,"15' HORIZONTAL FREEZER, MAYTAG",Free Standing Freezer,Direct Cool Horizontal-FreeStanding Frez,MAY,549.0,B,1,187.0,187.00
NED4655EW,"AMANA 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,499.0,B,1,170.0,170.00
