Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP,Cut
KRMF706ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,C,2,974.75,1949.5,3899,7798,WET4027EW1
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,C,2,574.75,1149.5,2299,4598,WFE320MOES
WFE515S0ES,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,C,5,187.25,936.25,749,3745,
WRF992FIFM,32' 3X EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,C,1,899.75,899.75,3599,3599,
WRV976FDEM,5 DOOR FULL DEPTH MULTI DOOR EXT. I&W BO,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,C,1,824.75,824.75,3299,3299,
MEDX655DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,C,4,199.75,799,799,3196,
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,C,2,349.75,699.5,1399,2798,
WET4024EW,"24"" ELEC TT STACK  240V",Washers / Dryers,Stacked Washer / Dryer Pairs,WHR,C,2,349.75,699.5,1399,2798,
WFE745H0FS,"30"" FS ELECTRIC RANGE SS","Freestanding, Food Preparation",Ranges,WHR,C,2,262.25,524.5,1049,2098,
MER8800FZ,"30"" FS ELEC 5-BURNER TRUE CONVECT AFR SS","Freestanding, Food Preparation",Ranges,MAY,C,2,262.25,524.5,1049,2098,
NTW4516FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,AMA,C,4,124.75,499,499,1996,
MEDC215EW,"MAYTAG 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,C,3,162.25,486.75,649,1947,
WTW4816FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,C,3,149.75,449.25,599,1797,
WRT518SZFM,18' TM  P.STAINLESS CONTOUR GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,C,2,212.25,424.5,849,1698,
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,C,2,199.75,399.5,799,1598,
MVWC565FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,C,2,187.25,374.5,749,1498,
NED4655EW,"AMANA 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,C,3,124.75,374.25,499,1497,
WGE745C0FS,"30"" DOUBLE OVEN RANGE ELECTRIC SS","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,WHR,C,1,362.25,362.25,1449,1449,
WED4815EW,"WHIRLPOOL 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,WHR,C,2,149.75,299.5,599,1198,
WGD7590FW,"27"" ALPHA, GAS-DRYER-LONG VENT",Dryers,Air Vented-Dryer FL Match,WHR,C,1,262.25,262.25,1049,1049,
MVWB835DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,C,1,249.75,249.75,999,999,
