Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP
WTW5000DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,6,268.0,1608.00,749.0,4494.0
KRSF505EBL,REFRIGERATOR 26 CUFT DUAL-EVAP SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,KAD,Refurb,1,819.0,819.00,2599.0,2599.0
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,725.0,725.00,2299.0,2299.0
WRF736SDAM,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,725.0,725.00,2299.0,2299.0
AFI2539ERB,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,AMA,Refurb,1,599.0,599.00,1899.0,1899.0
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,567.0,567.00,1799.0,1799.0
MGDX655DW,"29"" WOD, LOOP FLOW DRYER, GAS",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,2,321.0,642.00,899.0,1798.0
WRF535SMBB,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,536.0,536.00,1699.0,1699.0
WRT518SZFM,18' TM  P.STAINLESS CONTOUR GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,2,268.0,536.00,849.0,1698.0
WEE745H0FS,"30"" SI RANGE ELECTRIC SS","Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,Refurb,1,589.0,589.00,1649.0,1649.0
WRS571CIDB,REFRIGERATOR 21 CUFT CD IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,Refurb,1,504.0,504.00,1599.0,1599.0
WRF560SMYM,20' FRENCH DOOR BOTTOM MOUNT NON DISP,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,504.0,504.00,1599.0,1599.0
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,2,286.0,572.00,799.0,1598.0
MEDX655DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,2,286.0,572.00,799.0,1598.0
WET4027EW,"27"" ELEC FULL SIZE STACK  240V",Washers / Dryers,Stacked Washer / Dryer Pairs,WHR,Refurb,1,500.0,500.00,1399.0,1399.0
WRB322DMBW,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,Refurb,1,441.0,441.00,1399.0,1399.0
WFE515S0EW,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,Refurb,2,232.0,464.00,649.0,1298.0
WEG515S0FS,WHR FRONT CTRL SELF CLEAN GAS,"Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,Refurb,1,446.0,446.00,1249.0,1249.0
WRS322FDAM,REFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,Refurb,1,378.0,378.00,1199.0,1199.0
MHW5500FW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,MAY,Refurb,1,393.0,393.00,1099.0,1099.0
AGR6303MFW,"30"" GAS FSR 4 TOP STANDARD CLN","Freestanding, Food Preparation",Ranges,AMA,Refurb,2,196.0,392.00,549.0,1098.0
WFG540H0ES,"30"" FS GAS CONV AQUALIFT","Freestanding, Food Preparation",Ranges,WHR,Refurb,1,375.0,375.00,1049.0,1049.0
MVWB835DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,1,357.0,357.00,999.0,999.0
MEDB835DW,"29"", AXIAL FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,1,357.0,357.00,999.0,999.0
RTW4516FW,TOP LD WASHR 3.5 PORCELAIN BASKET W/AGI,Washers,Vertical Axis - w/ Agitator,ROP,Refurb,2,179.0,358.00,499.0,998.0
MER8700DS,"30"" ELEC RANGE - FAN CONV","Freestanding, Food Preparation",Ranges,MAY,Refurb,1,339.0,339.00,949.0,949.0
MGDB755DW,"29"" WOD, LOOP FLOW DRYER, GAS",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,1,339.0,339.00,949.0,949.0
WFG520S0FS,"30"" GAS FSR 4 TOP FAN CONVECT","Freestanding, Food Preparation",Ranges,WHR,Refurb,1,339.0,339.00,949.0,949.0
WFW75HEFW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,Refurb,1,321.0,321.00,899.0,899.0
MED3500FW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,MAY,Refurb,1,321.0,321.00,899.0,899.0
MHW3505FW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,MAY,Refurb,1,321.0,321.00,899.0,899.0
WRT519SZDW,"19' GLASS TM, WH",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,268.0,268.00,849.0,849.0
WGD5000DW,"29"" WOD, LOOP FLOW DRYER, GAS",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,303.0,303.00,849.0,849.0
WED7500VW,"24"" ELECTRIC DRYER, WHIRLPOOL",Dryers,Air Vented-Dryer FL Match,WHR,Refurb,1,286.0,286.00,799.0,799.0
WRT518SZFW,18' TM WHITE. CONTOUR.GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,236.0,236.00,749.0,749.0
WFG505M0BS,"30"" GAS RANGE FW GRATE  GRIDDLE SS","Freestanding, Food Preparation",Ranges,WHR,Refurb,1,268.0,268.00,749.0,749.0
MVWC416FW,"MAYTAG 27"" AGITATOR WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,250.0,250.00,699.0,699.0
MDB4949SDM,"CLASSIC, SS, GWS CHOPPER, BUILT-IN DISHW",Dishwashers,Built-in - Dishwasher,MAY,Refurb,1,250.0,250.00,699.0,699.0
MVWC415EW,"MAYTAG 27"" AGITATOR WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,232.0,232.00,649.0,649.0
MEDC215EW,"MAYTAG 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,1,232.0,232.00,649.0,649.0
NGD4655EW,"AMANA 29"" GAS DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,Refurb,1,214.0,214.00,599.0,599.0
WDF520PADM,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,1,196.0,196.00,549.0,549.0
WED4616FW,WHIRLPOOL ELECTRIC DRYER 7.0 CU FT,Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,196.0,196.00,549.0,549.0
WTW4616FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,Refurb,1,196.0,196.00,549.0,549.0
NED4655EW,"AMANA 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,Refurb,1,179.0,179.00,499.0,499.0
NTW4516FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,AMA,Refurb,1,179.0,179.00,499.0,499.0
MMV4205FZ,2.0CU.FT. SENSOR MHC SS CAVITY,MWO,"Microwave, Hood, Combination",MAY,Refurb,1,131.0,131.00,369.0,369.0
MMV4205DH,"2.0 CU. FT. MICROWAVE HOOD, SENSOR",MWO,"Microwave, Hood, Combination",MAY,Refurb,1,113.0,113.00,319.0,319.0
