Model,Model Desc,Product Type,Product Sub-Type,Brand,Ext. MSRP,Class,Qty,Price,Total Amt,MSRP
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,4598,Refurb,2,725,1450,2299
KRMF706EBS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3999,Refurb,1,1260,1260,3999
WRV986FDEM,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3399,Refurb,1,1071,1071,3399
KSEG950ESS,"30"" SI RANGE DD ELEC CONV ALT CLN SS","Freestanding, Food Preparation","Slide-in, Range/Cooker",KAD,3149,Refurb,1,1125,1125,3149
WET4027EW,"27"" ELEC FULL SIZE STACK  240V",Washers / Dryers,Stacked Washer / Dryer Pairs,WHR,2798,Refurb,2,500,1000,1399
KDTE254ESS,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,2298,Refurb,2,411,822,1149
WFE515S0ES,"30"" FS ELEC SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,2247,Refurb,3,268,804,749
MFI2570FEZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,2199,Refurb,1,693,693,2199
MVWC415EW,"MAYTAG 27"" AGITATOR WASHER",Washers,Vertical Axis - w/ Agitator,MAY,1947,Refurb,3,232,696,649
WFE540H0ES,"30""FS ELEC CERAN CONV AQUALIFT","Freestanding, Food Preparation",Ranges,WHR,1898,Refurb,2,339,678,949
WRF532SMBM,"33"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1799,Refurb,1,567,567,1799
WRF535SMBM,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1799,Refurb,1,567,567,1799
WED7000DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,1598,Refurb,2,286,572,799
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,1598,Refurb,2,286,572,799
WRB322DMBM,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1499,Refurb,1,473,473,1499
WDT780SAEM,DISHWASHER-FID SS TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,1498,Refurb,2,268,536,749
NED4655EW,"AMANA 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,1497,Refurb,3,179,537,499
WGE745C0FH,"30"" DOUBLE OVEN RANGE ELECTRIC WHT","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,WHR,1449,Refurb,1,518,518,1449
WDF560SAFM,DISHWASHER-CLASSIC SS TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,1298,Refurb,2,232,464,649
WRT111SFDM,"11' STD, Glass RC, SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1238,Refurb,2,195,390,619
WED92HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,1199,Refurb,1,428,428,1199
MEDB855DW,"29"", AXIAL FLOW STEAM DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,1199,Refurb,1,428,428,1199
KDTE254EBL,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,1149,Refurb,1,411,411,1149
WTW8040DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,999,Refurb,1,357,357,999
NTW4516FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,AMA,998,Refurb,2,179,358,499
RED4516FW,"ROPER 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,ROP,998,Refurb,2,179,358,499
MER8700DS,"30"" ELEC RANGE - FAN CONV","Freestanding, Food Preparation",Ranges,MAY,949,Refurb,1,339,339,949
KDFE204ESS,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,949,Refurb,1,339,339,949
WED7590FW,"27"" ALPHA, ELEC-DRYER-LONG VENT",Dryers,Air Vented-Dryer FL Match,WHR,949,Refurb,1,339,339,949
MED3500FW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,MAY,899,Refurb,1,321,321,899
WED75HEFW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,WHR,899,Refurb,1,321,321,899
