Model,Model Desc,Product Type,Product Sub-Type,Brand,MSRP,Class,Qty,Price,Total Amt
KRMF706ESS,5 DOOR FULL DEPTH AK12 PLATFORM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,3899,B,1,1326,1326
WRX988SIBM,28 CU FT. EXTERNAL I&W 4 DOOR,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,3099,B,1,1054,1054
KFID500ESS,"30"" DO RANGE INDUCT CONV SLF CLN SS","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,KAD,2849,B,1,969,969
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,2798,B,2,476,952
WHD5090GW,"24"" HEAT PUMP DRYER",Dryers,Air Vented-Dryer FL Match,WHR,2398,B,2,408,816
WRF736SDAM,26' XXL EXT I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2299,B,1,782,782
JFC2089BEM,"36"" WIDE CD FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,JEN,2299,B,1,782,782
KRFC300EWH,COUNTER DEPTH FDBM INTERNAL WATER,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,KAD,2299,B,1,782,782
MHW5500FW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,MAY,2198,B,2,374,748
WRF555SDFZ,BTM FRENCH DOOR - ICE2O STEALTH 25',Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,2099,B,1,714,714
WRF560SEYM,20' FRENCH DOOR BTM MOUNT EXT WATER DISP,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,1899,B,1,646,646
MHW3505FW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,MAY,1798,B,2,306,612
WEG745H0FS,"30"" SI RANGE GAS EZ LIFT GRATES SS","Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,1749,B,1,595,595
WRS342FIAM,REFRIGERATOR 22 CUFT IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1699,B,1,578,578
WRT518SZFM,18' TM  P.STAINLESS CONTOUR GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,1698,B,2,289,578
MGT8720DH,"30"" GAS DBL OVEN FAN CONV RANGE","Freestanding, Food Preparation",Dual Oven FS Range/Cooker,MAY,1649,B,1,561,561
WRS571CIDB,REFRIGERATOR 21 CUFT CD IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1599,B,1,544,544
WED5000DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,1498,B,2,255,510
WFG505M0BS,"30"" GAS RANGE FW GRATE  GRIDDLE SS","Freestanding, Food Preparation",Ranges,WHR,1498,B,2,255,510
WRB322DMBB,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1399,B,1,476,476
MBF2258FEW,22' DRAWER BOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,MAY,1399,B,1,476,476
WFW92HEFC,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,1299,B,1,442,442
WRB119WFBM,YMEDB725CGBOTTOM MOUNT,Free Standing Refrigerator Freezer,No Frost Bottom-Free Standing Refr Frez,WHR,1199,B,1,408,408
NGD4655EW,"AMANA 29"" GAS DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,1198,B,2,204,408
WRS322FDAW,2EFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1099,B,1,374,374
WRS322FDAB,REFRIGERATOR 22 CUFT NON IDI SXS        ,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,1099,B,1,374,374
WUW35X24DS,"24"" WHR BASE SINGLE ZONE WINE",Built In Refrigerators,No Frost Cab Sgl-Free Standing Refr,WHR,1099,B,1,374,374
WFE770H0FZ,"30"" FS ELECTRIC RANGE AFP SS","Freestanding, Food Preparation",Ranges,WHR,1049,B,1,357,357
WTW8040DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,999,B,1,340,340
WFW85HEFW,"27"" FL - ALPHA NAR (110V), CLYDE",Washers,Horizontal Axis - Tumble Front Load,WHR,999,B,1,340,340
WRS322FNAB,REFRIGERATOR 22 CUFT DISP SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,999,B,1,340,340
MVWB835DW,"VMAX, HE TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,999,B,1,340,340
RED4516FW,"ROPER 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,ROP,998,B,2,170,340
AMV2307PFB,AMA MHC 1.6 CUFT 2 SPD 300 CFM,MWO,"Microwave, Hood, Combination",AMA,995,B,5,68,340
WRT311FZDT,"21' TM,FLAT,BISCUIT",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,949,B,1,323,323
WRT311FZDB,"21' TM,FLAT,BLACK",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,949,B,1,323,323
MED3500FW,"27"" ALPHA, ELECTRIC-DRYER",Dryers,Air Vented-Dryer FL Match,MAY,899,B,1,306,306
MED7500YW,"DRYER, 24""",Dryers,Air Vented-Dryer FL Match,MAY,799,B,1,272,272
WTW5000DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,749,B,1,255,255
WFE530C0EW,"30"" FS ELEC CONV SELF CLEAN","Freestanding, Food Preparation",Ranges,WHR,749,B,1,255,255
