Model,Model Desc,Product Type,Product Sub-Type,Brand,Class,Qty,Price,Total Amt,MSRP,Ext. MSRP
WRX735SDBM,FRENCH DOOR PANTRY,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,3,725.0,2175.00,2299.0,6897.0
WRF992FIFM,32' 3X EXT. I&W FDBM,Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,WHR,Refurb,1,1134.0,1134.00,3599.0,3599.0
MEDX655DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,4,286.0,1144.00,799.0,3196.0
MVWX655DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,MAY,Refurb,4,286.0,1144.00,799.0,3196.0
WEC310S0FW,WHR FRONT CTRL SELF CLEAN COIL,"Freestanding, Food Preparation","Slide-in, Range/Cooker",WHR,Refurb,3,357.0,1071.00,999.0,2997.0
WTW5000DW,"VMAX, HYBRID TOP LOAD WASHER",Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,4,268.0,1072.00,749.0,2996.0
MVWC565FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,3,268.0,804.00,749.0,2247.0
RED4516FW,"ROPER 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,ROP,Refurb,4,179.0,716.00,499.0,1996.0
MEDC215EW,"MAYTAG 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,MAY,Refurb,3,232.0,696.00,649.0,1947.0
MFF2558FEZ,"36"" WIDE FRENCH DOOR",Free Standing Refrigerator Freezer,No Frost Multi Dr -FreeStandg Refr Frez,MAY,Refurb,1,567.0,567.00,1799.0,1799.0
KDFE104DWH,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,Refurb,2,268.0,536.00,749.0,1498.0
WDP340PAFW,"PORTABLE DISHWASHER, 4 IN CONSOLE",Dishwashers,Portable - Dishwashers,WHR,Refurb,2,268.0,536.00,749.0,1498.0
WRS325FDAM,REFRIGERATOR 25 CUFT NON IDI SXS,Free Standing Refrigerator Freezer,No Frost Side - Free Standing Refr Frez,WHR,Refurb,1,441.0,441.00,1399.0,1399.0
WTW8700EC,VMAX. HE TL WASHER [CONNECTED],Washers,Vertical Axis Washer w/Impeller,WHR,Refurb,1,500.0,500.00,1399.0,1399.0
KDTM404ESS,RIF SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,Refurb,1,482.0,482.00,1349.0,1349.0
WTW4816FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,Refurb,2,214.0,428.00,599.0,1198.0
KDTM354DSS,ROTATING INLET FILTER SS TALL TUB DW,Dishwashers,Built-in - Dishwasher,KAD,Refurb,1,411.0,411.00,1149.0,1149.0
WRT311FZDM,"21' TM,FLAT,MONO SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,331.0,331.00,1049.0,1049.0
MVWB766FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,357.0,357.00,999.0,999.0
KDTE104ESS,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,Refurb,1,339.0,339.00,949.0,949.0
WRT519SZDM,"19' GLASS TM, MONO SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,299.0,299.00,949.0,949.0
MVWB765FW,"VMAX, AGITATOR TOP LOAD WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,321.0,321.00,899.0,899.0
KDTE104EBL,FILTER SS TALL TUB BUILT-IN DISHWASHER,Dishwashers,Built-in - Dishwasher,KAD,Refurb,1,303.0,303.00,849.0,849.0
WDT920SADM,DISHWASHER-FID SS TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,1,303.0,303.00,849.0,849.0
WFE520S0FS,"30"" ELEC FSR 4 TOP FAN CONVECT","Freestanding, Food Preparation",Ranges,WHR,Refurb,1,303.0,303.00,849.0,849.0
WRT318FZDM,"18'FLAT DR, GLASS TOP MOUNT, SS",Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,268.0,268.00,849.0,849.0
MER6600FZ,"30"" FS ELECTRIC 5-ELEMENT AFP SS","Freestanding, Food Preparation",Ranges,MAY,Refurb,1,303.0,303.00,849.0,849.0
WRT518SZFB,18' TM BLACK. CONTOUR.GLASS,Free Standing Refrigerator Freezer,No Frost Top - Free Standing Refr Frez,WHR,Refurb,1,236.0,236.00,749.0,749.0
WED5000DW,"29"" WOD, LOOP FLOW DRYER, ELECTRIC",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,268.0,268.00,749.0,749.0
WED49STBW,"29"" WOD, 7.0, LOOP FLOW STEAM DRYER, ELE",Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,268.0,268.00,749.0,749.0
MVWC415EW,"MAYTAG 27"" AGITATOR WASHER",Washers,Vertical Axis - w/ Agitator,MAY,Refurb,1,232.0,232.00,649.0,649.0
WDT720PADM,DISHWASHER-FID PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,1,232.0,232.00,649.0,649.0
WTW4616FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,WHR,Refurb,1,196.0,196.00,549.0,549.0
WED4616FW,WHIRLPOOL ELECTRIC DRYER 7.0 CU FT,Dryers,Air Vented - Dryer TL Matching,WHR,Refurb,1,196.0,196.00,549.0,549.0
AER6303MFW,"30""E FSR 4 TOP RADIANT STD CLN","Freestanding, Food Preparation",Ranges,AMA,Refurb,1,196.0,196.00,549.0,549.0
ACR4503SFS,"30"" ELEC FSR SELF CLEAN COIL","Freestanding, Food Preparation",Ranges,AMA,Refurb,1,189.0,189.00,529.0,529.0
NED4655EW,"AMANA 29"" ELECTRIC DRYER",Dryers,Air Vented - Dryer TL Matching,AMA,Refurb,1,179.0,179.00,499.0,499.0
WDF540PADW,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,1,179.0,179.00,499.0,499.0
NTW4516FW,TOP LOAD WASHER 3.5 PORCELAIN BSKT W/AGI,Washers,Vertical Axis - w/ Agitator,AMA,Refurb,1,179.0,179.00,499.0,499.0
WDF320PADB,DISHWASHER-CLASSIC PLT TALL TUB FILTER,Dishwashers,Built-in - Dishwasher,WHR,Refurb,1,143.0,143.00,399.0,399.0
